,series_id,year,period,value,footnote_codes
0,WPS802                        ,2009,M04,100.0,
1,WPS802                        ,2009,M05,100.1,
2,WPS802                        ,2009,M06,100.5,
3,WPS802                        ,2009,M07,100.6,
4,WPS802                        ,2009,M08,100.6,
5,WPS802                        ,2009,M09,101.0,
6,WPS802                        ,2009,M10,101.3,
7,WPS802                        ,2009,M11,101.3,
8,WPS802                        ,2009,M12,101.5,
9,WPS802                        ,2010,M01,101.5,
10,WPS802                        ,2010,M02,101.7,
11,WPS802                        ,2010,M03,101.8,
12,WPS802                        ,2010,M04,101.9,
13,WPS802                        ,2010,M05,102.0,
14,WPS802                        ,2010,M06,102.0,
15,WPS802                        ,2010,M07,102.3,
16,WPS802                        ,2010,M08,102.3,
17,WPS802                        ,2010,M09,102.4,
18,WPS802                        ,2010,M10,102.5,
19,WPS802                        ,2010,M11,102.8,
20,WPS802                        ,2010,M12,103.0,
21,WPS802                        ,2011,M01,102.6,
22,WPS802                        ,2011,M02,102.7,
23,WPS802                        ,2011,M03,102.8,
24,WPS802                        ,2011,M04,102.8,
25,WPS802                        ,2011,M05,103.2,
26,WPS802                        ,2011,M06,103.4,
27,WPS802                        ,2011,M07,103.6,
28,WPS802                        ,2011,M08,103.8,
29,WPS802                        ,2011,M09,104.0,
30,WPS802                        ,2011,M10,104.1,
31,WPS802                        ,2011,M11,104.2,
32,WPS802                        ,2011,M12,104.4,
33,WPS802                        ,2012,M01,104.8,
34,WPS802                        ,2012,M02,104.6,
35,WPS802                        ,2012,M03,104.8,
36,WPS802                        ,2012,M04,104.9,
37,WPS802                        ,2012,M05,104.9,
38,WPS802                        ,2012,M06,104.9,
39,WPS802                        ,2012,M07,105.0,
40,WPS802                        ,2012,M08,105.1,
41,WPS802                        ,2012,M09,105.1,
42,WPS802                        ,2012,M10,105.1,
43,WPS802                        ,2012,M11,105.3,
44,WPS802                        ,2012,M12,105.2,
45,WPS802                        ,2013,M01,105.9,
46,WPS802                        ,2013,M02,106.3,
47,WPS802                        ,2013,M03,106.7,
48,WPS802                        ,2013,M04,106.7,
49,WPS802                        ,2013,M05,106.7,
50,WPS802                        ,2013,M06,106.8,
51,WPS802                        ,2013,M07,106.8,
52,WPS802                        ,2013,M08,107.0,
53,WPS802                        ,2013,M09,107.3,
54,WPS802                        ,2013,M10,107.3,
55,WPS802                        ,2013,M11,107.3,
56,WPS802                        ,2013,M12,107.3,
57,WPS8021                       ,2009,M04,100.0,
58,WPS8021                       ,2009,M05,100.1,
59,WPS8021                       ,2009,M06,100.5,
60,WPS8021                       ,2009,M07,100.6,
61,WPS8021                       ,2009,M08,100.6,
62,WPS8021                       ,2009,M09,101.0,
63,WPS8021                       ,2009,M10,101.3,
64,WPS8021                       ,2009,M11,101.3,
65,WPS8021                       ,2009,M12,101.5,
66,WPS8021                       ,2010,M01,101.5,
67,WPS8021                       ,2010,M02,101.7,
68,WPS8021                       ,2010,M03,101.8,
69,WPS8021                       ,2010,M04,101.9,
70,WPS8021                       ,2010,M05,102.0,
71,WPS8021                       ,2010,M06,102.0,
72,WPS8021                       ,2010,M07,102.3,
73,WPS8021                       ,2010,M08,102.3,
74,WPS8021                       ,2010,M09,102.4,
75,WPS8021                       ,2010,M10,102.5,
76,WPS8021                       ,2010,M11,102.8,
77,WPS8021                       ,2010,M12,103.0,
78,WPS8021                       ,2011,M01,102.6,
79,WPS8021                       ,2011,M02,102.7,
80,WPS8021                       ,2011,M03,102.8,
