UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2015,999,320738994,157906843,162832151,122492195,124714201,20389061,22206154,2032168,1996081,8524912,9352580,386068,374336,4082439,4188799,126114115,128409386,22174642,24086207,3303819,3334414,10035250,10867752,756360,750265,129548837,135071998,97551234,100350410,19055845,20821876,1166188,1200089,8240798,9066908,280969,276537,3253803,3356178,100436016,103307479,20467496,22317014,2080922,2183017,9520966,10350624,572127,573729,28358006,27760153,24940961,24363791,1333216,1384278,865980,795992,284114,285672,105099,97799,828636,832621,25678099,25101907,1707146,1769193,1222897,1151397,514284,517128,184233,176536
R,7,2015,0,3984144,2037728,1946416,1441992,1373735,310293,301239,35025,33912,116174,108722,7082,6727,127162,122081,1558998,1486056,379439,368010,59602,57445,163394,153798,15955,15132,1524135,1451907,1014890,962904,277036,269213,16538,15821,108907,101675,4486,4213,102278,98081,1109500,1053620,333418,323668,32684,31199,148357,139278,11061,10432,513593,494509,427102,410831,33257,32026,18487,18091,7267,7047,2596,2514,24884,24000,449498,432436,46021,44342,26918,26246,15037,14520,4894,4700
R,7,2015,1,3973828,2034037,1939791,1442344,1369823,309765,300835,35256,33900,114200,108043,6784,6500,125688,120690,1558001,1480849,377567,366935,59732,57307,161182,152379,15706,14927,1524129,1451156,1018105,963610,276473,268920,16873,16152,107233,101370,4371,4159,101074,96945,1111629,1053270,331716,322847,32984,31488,146474,138305,10947,10368,509908,488635,424239,406213,33292,31915,18383,17748,6967,6673,2413,2341,24614,23745,446372,427579,45851,44088,26748,25819,14708,14074,4759,4559
R,7,2015,2,3967672,2028128,1939544,1435733,1369552,308142,299529,34965,33598,118099,111356,6806,6488,124383,119021,1550032,1478861,374707,364057,59280,56968,165073,155598,15841,14944,1521423,1451134,1012715,962121,275885,268330,17050,16306,111308,104684,4442,4154,100023,95539,1105111,1050313,330085,320875,33061,31665,150601,141586,11097,10339,506705,488410,423018,407431,32257,31199,17915,17292,6791,6672,2364,2334,24360,23482,444921,428548,44622,43182,26219,25303,14472,14012,4744,4605
R,7,2015,3,3976277,2032589,1943688,1444939,1378116,308702,299265,35925,34551,113806,108188,6555,6297,122662,117271,1557625,1485837,374543,362651,60277,57858,159698,151670,15377,14704,1521352,1451173,1017691,966248,276854,268673,17077,16473,107140,101784,4211,4024,98379,93971,1108538,1053024,330353,320197,33075,31754,145464,138014,10695,10178,511237,492515,427248,411868,31848,30592,18848,18078,6666,6404,2344,2273,24283,23300,449087,432813,44190,42454,27202,26104,14234,13656,4682,4526
R,7,2015,4,4022785,2057652,1965133,1471353,1400870,310534,301509,34387,33223,111879,106324,6503,6192,122996,117015,1584405,1508349,376378,364561,59076,56871,157730,149582,15411,14569,1533470,1459834,1028077,974376,280188,271580,17359,16516,105375,100106,4194,3961,98277,93295,1118865,1060499,333590,322585,33518,31966,143502,136039,10709,10055,524182,505299,443276,426494,30346,29929,17028,16707,6504,6218,2309,2231,24719,23720,465540,447850,42788,41976,25558,24905,14228,13543,4702,4514
R,7,2015,5,4020489,2051812,1968677,1475036,1409594,308259,299520,33272,32359,108464,104364,6138,5971,120643,116869,1586147,1516998,372966,362799,57799,56386,152836,146851,14737,14228,1524052,1459519,1025389,975755,279073,271283,17189,16981,102328,98539,4085,3942,95988,93019,1114224,1061638,331396,322319,33096,32731,139129,133852,10389,9946,527760,509158,449647,433839,29186,28237,16083,15378,6136,5825,2053,2029,24655,23850,471923,455360,41570,40480,24703,23655,13707,12999,4348,4282
R,7,2015,6,4020428,2050863,1969565,1479684,1414168,310145,302416,32859,31821,105248,102267,6100,6036,116827,112857,1586937,1517943,372927,363767,56831,54558,147890,143001,14403,14068,1526822,1464704,1031583,982670,281484,274515,17394,16942,99179,96525,4077,4051,93105,90001,1117468,1065838,332446,324384,32986,31663,134625,130483,10185,9955,524041,504861,448101,431498,28661,27901,15465,14879,6069,5742,2023,1985,23722,22856,469469,452105,40481,39383,23845,22895,13265,12518,4218,4113
R,7,2015,7,4148711,2117169,2031542,1530474,1461041,319906,312218,34144,32946,109295,105915,6336,6050,117014,113372,1637813,1565041,382703,374123,58073,56137,151990,146558,14894,14003,1575181,1511584,1065218,1015498,290712,283953,18024,17589,103382,100156,4273,4003,93572,90385,1151426,1098752,341963,334355,33666,32587,138992,133942,10547,9856,541988,519958,465256,445543,29194,28265,16120,15357,5913,5759,2063,2047,23442,22987,486387,466289,40740,39768,24407,23550,12998,12616,4347,4147
R,7,2015,8,4167765,2129067,2038698,1545889,1474940,320822,310631,34700,33171,108008,103737,6263,6131,113385,110088,1649928,1575734,381399,370083,58290,56155,149407,143310,14561,14138,1587144,1517870,1080228,1027127,292046,283015,18056,17740,101995,98108,4245,4091,90574,87789,1163739,1107829,341387,331525,33507,32653,136409,131066,10360,9963,541923,520828,465661,447813,28776,27616,16644,15431,6013,5629,2018,2040,22811,22299,486189,467905,40012,38558,24783,23502,12998,12244,4201,4175
