,series_id,year,period,value,footnote_codes
64765,CEU3200000001    ,1939,M13,4796.0,
64778,CEU3200000001    ,1940,M13,4839.0,
64791,CEU3200000001    ,1941,M13,5343.0,
64804,CEU3200000001    ,1942,M13,5528.0,
64817,CEU3200000001    ,1943,M13,5570.0,
64830,CEU3200000001    ,1944,M13,5531.0,
64843,CEU3200000001    ,1945,M13,5523.0,
64856,CEU3200000001    ,1946,M13,5978.0,
64869,CEU3200000001    ,1947,M13,6208.0,
64882,CEU3200000001    ,1948,M13,6296.0,
64895,CEU3200000001    ,1949,M13,6041.0,
64908,CEU3200000001    ,1950,M13,6204.0,
64921,CEU3200000001    ,1951,M13,6332.0,
64934,CEU3200000001    ,1952,M13,6312.0,
64947,CEU3200000001    ,1953,M13,6441.0,
64960,CEU3200000001    ,1954,M13,6229.0,
64973,CEU3200000001    ,1955,M13,6363.0,
64986,CEU3200000001    ,1956,M13,6424.0,
64999,CEU3200000001    ,1957,M13,6346.0,
65012,CEU3200000001    ,1958,M13,6176.0,
65025,CEU3200000001    ,1959,M13,6337.0,
65038,CEU3200000001    ,1960,M13,6367.0,
65051,CEU3200000001    ,1961,M13,6300.0,
65064,CEU3200000001    ,1962,M13,6399.0,
65077,CEU3200000001    ,1963,M13,6405.0,
65090,CEU3200000001    ,1964,M13,6474.0,
65103,CEU3200000001    ,1965,M13,6644.0,
65116,CEU3200000001    ,1966,M13,6878.0,
65129,CEU3200000001    ,1967,M13,6945.0,
65142,CEU3200000001    ,1968,M13,7074.0,
65155,CEU3200000001    ,1969,M13,7177.0,
65168,CEU3200000001    ,1970,M13,7086.0,
65181,CEU3200000001    ,1971,M13,6944.0,
65194,CEU3200000001    ,1972,M13,7039.0,
65207,CEU3200000001    ,1973,M13,7176.0,
65220,CEU3200000001    ,1974,M13,7082.0,
65233,CEU3200000001    ,1975,M13,6643.0,
65246,CEU3200000001    ,1976,M13,6891.0,
65259,CEU3200000001    ,1977,M13,7035.0,
65272,CEU3200000001    ,1978,M13,7162.0,
65285,CEU3200000001    ,1979,M13,7206.0,
65298,CEU3200000001    ,1980,M13,7054.0,
65311,CEU3200000001    ,1981,M13,7023.0,
65324,CEU3200000001    ,1982,M13,6753.0,
65337,CEU3200000001    ,1983,M13,6722.0,
65350,CEU3200000001    ,1984,M13,6870.0,
65363,CEU3200000001    ,1985,M13,6784.0,
65376,CEU3200000001    ,1986,M13,6757.0,
65389,CEU3200000001    ,1987,M13,6842.0,
65402,CEU3200000001    ,1988,M13,6938.0,
65415,CEU3200000001    ,1989,M13,6981.0,
65428,CEU3200000001    ,1990,M13,6958.0,
65441,CEU3200000001    ,1991,M13,6848.0,
65454,CEU3200000001    ,1992,M13,6853.0,
65467,CEU3200000001    ,1993,M13,6872.0,
65480,CEU3200000001    ,1994,M13,6889.0,
65493,CEU3200000001    ,1995,M13,6868.0,
65506,CEU3200000001    ,1996,M13,6751.0,
65519,CEU3200000001    ,1997,M13,6714.0,
65532,CEU3200000001    ,1998,M13,6649.0,
65545,CEU3200000001    ,1999,M13,6491.0,
65558,CEU3200000001    ,2000,M13,6386.0,
65571,CEU3200000001    ,2001,M13,6105.0,
65584,CEU3200000001    ,2002,M13,5774.0,
65597,CEU3200000001    ,2003,M13,5546.0,
65610,CEU3200000001    ,2004,M13,5390.0,
65623,CEU3200000001    ,2005,M13,5271.0,
65636,CEU3200000001    ,2006,M13,5174.0,
65649,CEU3200000001    ,2007,M13,5071.0,
65662,CEU3200000001    ,2008,M13,4943.0,
65675,CEU3200000001    ,2009,M13,4564.0,
65688,CEU3200000001    ,2010,M13,4464.0,
65701,CEU3200000001    ,2011,M13,4453.0,
65714,CEU3200000001    ,2012,M13,4457.0,
65727,CEU3200000001    ,2013,M13,4472.0,
65740,CEU3200000001    ,2014,M13,4512.0,
65753,CEU3200000001    ,2015,M13,4571.0,
65766,CEU3200000001    ,2016,M13,4640.0,
65779,CEU3200000001    ,2017,M13,4699.0,
65792,CEU3200000001    ,2018,M13,4742.0,
65805,CEU3200000001    ,2019,M13,4778.0,
65818,CEU3200000001    ,2020,M13,4600.0,
65842,CEU3200000006    ,1939,M13,4201.0,
65855,CEU3200000006    ,1940,M13,4229.0,
65868,CEU3200000006    ,1941,M13,4740.0,
65881,CEU3200000006    ,1942,M13,5016.0,
65894,CEU3200000006    ,1943,M13,5171.0,
65907,CEU3200000006    ,1944,M13,5124.0,
65920,CEU3200000006    ,1945,M13,5069.0,
65933,CEU3200000006    ,1946,M13,5421.0,
65946,CEU3200000006    ,1947,M13,5506.0,
65959,CEU3200000006    ,1948,M13,5529.0,
65972,CEU3200000006    ,1949,M13,5262.0,
65985,CEU3200000006    ,1950,M13,5386.0,
65998,CEU3200000006    ,1951,M13,5441.0,
66011,CEU3200000006    ,1952,M13,5373.0,
66024,CEU3200000006    ,1953,M13,5449.0,
66037,CEU3200000006    ,1954,M13,5216.0,
66050,CEU3200000006    ,1955,M13,5315.0,
66063,CEU3200000006    ,1956,M13,5338.0,
66076,CEU3200000006    ,1957,M13,5227.0,
66089,CEU3200000006    ,1958,M13,5044.0,
66102,CEU3200000006    ,1959,M13,5172.0,
66115,CEU3200000006    ,1960,M13,5163.0,
66128,CEU3200000006    ,1961,M13,5085.0,
66141,CEU3200000006    ,1962,M13,5159.0,
66154,CEU3200000006    ,1963,M13,5138.0,
66167,CEU3200000006    ,1964,M13,5195.0,
66180,CEU3200000006    ,1965,M13,5324.0,
66193,CEU3200000006    ,1966,M13,5501.0,
66206,CEU3200000006    ,1967,M13,5517.0,
66219,CEU3200000006    ,1968,M13,5614.0,
66232,CEU3200000006    ,1969,M13,5668.0,
66245,CEU3200000006    ,1970,M13,5564.0,
66258,CEU3200000006    ,1971,M13,5473.0,
66271,CEU3200000006    ,1972,M13,5621.0,
66284,CEU3200000006    ,1973,M13,5720.0,
66297,CEU3200000006    ,1974,M13,5605.0,
66310,CEU3200000006    ,1975,M13,5186.0,
66323,CEU3200000006    ,1976,M13,5394.0,
66336,CEU3200000006    ,1977,M13,5486.0,
66349,CEU3200000006    ,1978,M13,5575.0,
66362,CEU3200000006    ,1979,M13,5600.0,
66375,CEU3200000006    ,1980,M13,5441.0,
66388,CEU3200000006    ,1981,M13,5401.0,
66401,CEU3200000006    ,1982,M13,5147.0,
66414,CEU3200000006    ,1983,M13,5134.0,
66427,CEU3200000006    ,1984,M13,5249.0,
66440,CEU3200000006    ,1985,M13,5167.0,
66453,CEU3200000006    ,1986,M13,5169.0,
66466,CEU3200000006    ,1987,M13,5240.0,
66479,CEU3200000006    ,1988,M13,5302.0,
66492,CEU3200000006    ,1989,M13,5326.0,
66505,CEU3200000006    ,1990,M13,5272.0,
66518,CEU3200000006    ,1991,M13,5163.0,
66531,CEU3200000006    ,1992,M13,5167.0,
66544,CEU3200000006    ,1993,M13,5191.0,
66557,CEU3200000006    ,1994,M13,5227.0,
66570,CEU3200000006    ,1995,M13,5214.0,
66583,CEU3200000006    ,1996,M13,5106.0,
66596,CEU3200000006    ,1997,M13,5075.0,
66609,CEU3200000006    ,1998,M13,5008.0,
66622,CEU3200000006    ,1999,M13,4872.0,
66635,CEU3200000006    ,2000,M13,4769.0,
66648,CEU3200000006    ,2001,M13,4513.0,
66661,CEU3200000006    ,2002,M13,4238.0,
66674,CEU3200000006    ,2003,M13,4037.0,
66687,CEU3200000006    ,2004,M13,3932.0,
66700,CEU3200000006    ,2005,M13,3841.0,
66713,CEU3200000006    ,2006,M13,3782.0,
66726,CEU3200000006    ,2007,M13,3725.0,
66739,CEU3200000006    ,2008,M13,3653.0,
66752,CEU3200000006    ,2009,M13,3332.0,
66765,CEU3200000006    ,2010,M13,3248.0,
66778,CEU3200000006    ,2011,M13,3241.0,
66791,CEU3200000006    ,2012,M13,3248.0,
66804,CEU3200000006    ,2013,M13,3237.0,
66817,CEU3200000006    ,2014,M13,3283.0,
66830,CEU3200000006    ,2015,M13,3333.0,
66843,CEU3200000006    ,2016,M13,3367.0,
66856,CEU3200000006    ,2017,M13,3415.0,
66869,CEU3200000006    ,2018,M13,3434.0,
66882,CEU3200000006    ,2019,M13,3427.0,
66895,CEU3200000006    ,2020,M13,3297.0,
66919,CEU3200000010    ,1959,M13,2214.0,
66932,CEU3200000010    ,1960,M13,2217.0,
66945,CEU3200000010    ,1961,M13,2184.0,
66958,CEU3200000010    ,1962,M13,2248.0,
66971,CEU3200000010    ,1963,M13,2257.0,
66984,CEU3200000010    ,1964,M13,2286.0,
66997,CEU3200000010    ,1965,M13,2369.0,
67010,CEU3200000010    ,1966,M13,2498.0,
67023,CEU3200000010    ,1967,M13,2537.0,
67036,CEU3200000010    ,1968,M13,2603.0,
67049,CEU3200000010    ,1969,M13,2663.0,
67062,CEU3200000010    ,1970,M13,2618.0,
67075,CEU3200000010    ,1971,M13,2566.0,
67088,CEU3200000010    ,1972,M13,2661.0,
67101,CEU3200000010    ,1973,M13,2752.0,
67114,CEU3200000010    ,1974,M13,2697.0,
67127,CEU3200000010    ,1975,M13,2491.0,
67140,CEU3200000010    ,1976,M13,2644.0,
67153,CEU3200000010    ,1977,M13,2707.0,
67166,CEU3200000010    ,1978,M13,2800.0,
67179,CEU3200000010    ,1979,M13,2834.0,
67192,CEU3200000010    ,1980,M13,2780.0,
67205,CEU3200000010    ,1981,M13,2780.0,
67218,CEU3200000010    ,1982,M13,2661.0,
67231,CEU3200000010    ,1983,M13,2670.0,
67244,CEU3200000010    ,1984,M13,2747.0,
67257,CEU3200000010    ,1985,M13,2701.0,
67270,CEU3200000010    ,1986,M13,2703.0,
67283,CEU3200000010    ,1987,M13,2747.0,
67296,CEU3200000010    ,1988,M13,2805.0,
67309,CEU3200000010    ,1989,M13,2833.0,
67322,CEU3200000010    ,1990,M13,2799.0,
67335,CEU3200000010    ,1991,M13,2738.0,
67348,CEU3200000010    ,1992,M13,2731.0,
67361,CEU3200000010    ,1993,M13,2718.0,
67374,CEU3200000010    ,1994,M13,2718.0,
67387,CEU3200000010    ,1995,M13,2694.0,
67400,CEU3200000010    ,1996,M13,2616.0,
67413,CEU3200000010    ,1997,M13,2588.0,
67426,CEU3200000010    ,1998,M13,2537.0,
67439,CEU3200000010    ,1999,M13,2455.0,
67452,CEU3200000010    ,2000,M13,2397.0,
67465,CEU3200000010    ,2001,M13,2251.0,
67478,CEU3200000010    ,2002,M13,2092.0,
67491,CEU3200000010    ,2003,M13,1984.0,
67504,CEU3200000010    ,2004,M13,1927.0,
67517,CEU3200000010    ,2005,M13,1884.0,
67530,CEU3200000010    ,2006,M13,1827.0,
67543,CEU3200000010    ,2007,M13,1802.0,
67556,CEU3200000010    ,2008,M13,1729.0,
67569,CEU3200000010    ,2009,M13,1581.0,
67582,CEU3200000010    ,2010,M13,1542.0,
67595,CEU3200000010    ,2011,M13,1526.0,
67608,CEU3200000010    ,2012,M13,1526.0,
67621,CEU3200000010    ,2013,M13,1522.0,
67634,CEU3200000010    ,2014,M13,1544.0,
67647,CEU3200000010    ,2015,M13,1557.0,
67660,CEU3200000010    ,2016,M13,1580.0,
67673,CEU3200000010    ,2017,M13,1618.0,
67686,CEU3200000010    ,2018,M13,1671.0,
67699,CEU3200000010    ,2019,M13,1709.0,
67712,CEU3200000010    ,2020,M13,1634.0,
67736,CEU3231100001    ,1990,M13,1507.3,
67749,CEU3231100001    ,1991,M13,1515.2,
67762,CEU3231100001    ,1992,M13,1518.3,
67775,CEU3231100001    ,1993,M13,1534.6,
67788,CEU3231100001    ,1994,M13,1539.2,
67801,CEU3231100001    ,1995,M13,1560.0,
67814,CEU3231100001    ,1996,M13,1562.0,
67827,CEU3231100001    ,1997,M13,1557.9,
67840,CEU3231100001    ,1998,M13,1554.9,
67853,CEU3231100001    ,1999,M13,1549.8,
67866,CEU3231100001    ,2000,M13,1553.1,
67879,CEU3231100001    ,2001,M13,1551.2,
67892,CEU3231100001    ,2002,M13,1525.7,
67905,CEU3231100001    ,2003,M13,1517.5,
67918,CEU3231100001    ,2004,M13,1493.7,
67931,CEU3231100001    ,2005,M13,1477.6,
67944,CEU3231100001    ,2006,M13,1479.4,
67957,CEU3231100001    ,2007,M13,1484.1,
67970,CEU3231100001    ,2008,M13,1480.9,
67983,CEU3231100001    ,2009,M13,1456.4,
67996,CEU3231100001    ,2010,M13,1450.6,
68009,CEU3231100001    ,2011,M13,1458.8,
68022,CEU3231100001    ,2012,M13,1468.8,
68035,CEU3231100001    ,2013,M13,1473.7,
68048,CEU3231100001    ,2014,M13,1484.4,
68061,CEU3231100001    ,2015,M13,1511.8,
68074,CEU3231100001    ,2016,M13,1556.5,
68087,CEU3231100001    ,2017,M13,1598.0,
68100,CEU3231100001    ,2018,M13,1620.8,
68113,CEU3231100001    ,2019,M13,1645.0,
68126,CEU3231100001    ,2020,M13,1616.7,
68150,CEU3231100006    ,1990,M13,1165.0,
68163,CEU3231100006    ,1991,M13,1174.2,
68176,CEU3231100006    ,1992,M13,1182.0,
68189,CEU3231100006    ,1993,M13,1195.3,
68202,CEU3231100006    ,1994,M13,1200.4,
68215,CEU3231100006    ,1995,M13,1221.0,
68228,CEU3231100006    ,1996,M13,1227.7,
68241,CEU3231100006    ,1997,M13,1227.7,
68254,CEU3231100006    ,1998,M13,1227.6,
68267,CEU3231100006    ,1999,M13,1228.7,
68280,CEU3231100006    ,2000,M13,1227.9,
68293,CEU3231100006    ,2001,M13,1221.3,
68306,CEU3231100006    ,2002,M13,1202.3,
68319,CEU3231100006    ,2003,M13,1192.5,
68332,CEU3231100006    ,2004,M13,1177.8,
68345,CEU3231100006    ,2005,M13,1170.0,
68358,CEU3231100006    ,2006,M13,1172.2,
68371,CEU3231100006    ,2007,M13,1183.5,
68384,CEU3231100006    ,2008,M13,1183.9,
68397,CEU3231100006    ,2009,M13,1161.1,
68410,CEU3231100006    ,2010,M13,1152.2,
68423,CEU3231100006    ,2011,M13,1158.0,
68436,CEU3231100006    ,2012,M13,1169.0,
68449,CEU3231100006    ,2013,M13,1169.3,
68462,CEU3231100006    ,2014,M13,1176.0,
68475,CEU3231100006    ,2015,M13,1189.2,
68488,CEU3231100006    ,2016,M13,1212.2,
68501,CEU3231100006    ,2017,M13,1251.0,
68514,CEU3231100006    ,2018,M13,1272.2,
68527,CEU3231100006    ,2019,M13,1289.9,
68540,CEU3231100006    ,2020,M13,1275.3,
68564,CEU3231100010    ,1990,M13,539.9,
68577,CEU3231100010    ,1991,M13,539.1,
68590,CEU3231100010    ,1992,M13,539.9,
68603,CEU3231100010    ,1993,M13,542.3,
68616,CEU3231100010    ,1994,M13,549.9,
68629,CEU3231100010    ,1995,M13,563.2,
68642,CEU3231100010    ,1996,M13,563.1,
68655,CEU3231100010    ,1997,M13,564.4,
68668,CEU3231100010    ,1998,M13,563.3,
68681,CEU3231100010    ,1999,M13,562.5,
68694,CEU3231100010    ,2000,M13,563.8,
68707,CEU3231100010    ,2001,M13,556.0,
68720,CEU3231100010    ,2002,M13,542.9,
68733,CEU3231100010    ,2003,M13,543.5,
68746,CEU3231100010    ,2004,M13,541.0,
68759,CEU3231100010    ,2005,M13,541.5,
68772,CEU3231100010    ,2006,M13,539.2,
68785,CEU3231100010    ,2007,M13,544.8,
68798,CEU3231100010    ,2008,M13,529.4,
68811,CEU3231100010    ,2009,M13,518.1,
68824,CEU3231100010    ,2010,M13,513.6,
68837,CEU3231100010    ,2011,M13,519.3,
68850,CEU3231100010    ,2012,M13,533.3,
68863,CEU3231100010    ,2013,M13,537.6,
68876,CEU3231100010    ,2014,M13,548.5,
68889,CEU3231100010    ,2015,M13,557.2,
68902,CEU3231100010    ,2016,M13,575.5,
68915,CEU3231100010    ,2017,M13,596.1,
68928,CEU3231100010    ,2018,M13,617.9,
68941,CEU3231100010    ,2019,M13,632.2,
68954,CEU3231100010    ,2020,M13,621.9,
68977,CEU3231110001    ,1990,M13,57.0,
68990,CEU3231110001    ,1991,M13,57.2,
69003,CEU3231110001    ,1992,M13,55.2,
69016,CEU3231110001    ,1993,M13,55.9,
69029,CEU3231110001    ,1994,M13,56.3,
69042,CEU3231110001    ,1995,M13,56.3,
69055,CEU3231110001    ,1996,M13,55.8,
69068,CEU3231110001    ,1997,M13,55.4,
69081,CEU3231110001    ,1998,M13,55.3,
69094,CEU3231110001    ,1999,M13,54.9,
69107,CEU3231110001    ,2000,M13,54.6,
69120,CEU3231110001    ,2001,M13,53.0,
69133,CEU3231110001    ,2002,M13,51.2,
69146,CEU3231110001    ,2003,M13,49.6,
69159,CEU3231110001    ,2004,M13,49.7,
69172,CEU3231110001    ,2005,M13,49.1,
69185,CEU3231110001    ,2006,M13,49.4,
69198,CEU3231110001    ,2007,M13,49.9,
69211,CEU3231110001    ,2008,M13,51.5,
69224,CEU3231110001    ,2009,M13,51.8,
69237,CEU3231110001    ,2010,M13,51.1,
69250,CEU3231110001    ,2011,M13,51.8,
69263,CEU3231110001    ,2012,M13,53.2,
69276,CEU3231110001    ,2013,M13,53.8,
69289,CEU3231110001    ,2014,M13,54.8,
69302,CEU3231110001    ,2015,M13,57.0,
69315,CEU3231110001    ,2016,M13,58.5,
69328,CEU3231110001    ,2017,M13,60.6,
69341,CEU3231110001    ,2018,M13,62.7,
69354,CEU3231110001    ,2019,M13,64.3,
69367,CEU3231110001    ,2020,M13,66.1,
69390,CEU3231120001    ,1990,M13,71.3,
69403,CEU3231120001    ,1991,M13,70.6,
69416,CEU3231120001    ,1992,M13,70.6,
69429,CEU3231120001    ,1993,M13,71.0,
69442,CEU3231120001    ,1994,M13,70.1,
69455,CEU3231120001    ,1995,M13,69.8,
69468,CEU3231120001    ,1996,M13,69.0,
69481,CEU3231120001    ,1997,M13,68.7,
69494,CEU3231120001    ,1998,M13,67.5,
69507,CEU3231120001    ,1999,M13,65.1,
69520,CEU3231120001    ,2000,M13,64.8,
69533,CEU3231120001    ,2001,M13,63.0,
69546,CEU3231120001    ,2002,M13,61.8,
69559,CEU3231120001    ,2003,M13,62.4,
69572,CEU3231120001    ,2004,M13,60.4,
69585,CEU3231120001    ,2005,M13,60.5,
69598,CEU3231120001    ,2006,M13,60.5,
69611,CEU3231120001    ,2007,M13,61.3,
69624,CEU3231120001    ,2008,M13,61.9,
69637,CEU3231120001    ,2009,M13,59.7,
69650,CEU3231120001    ,2010,M13,59.2,
69663,CEU3231120001    ,2011,M13,59.3,
69676,CEU3231120001    ,2012,M13,59.9,
69689,CEU3231120001    ,2013,M13,59.1,
69702,CEU3231120001    ,2014,M13,58.7,
69715,CEU3231120001    ,2015,M13,59.8,
69728,CEU3231120001    ,2016,M13,60.4,
69741,CEU3231120001    ,2017,M13,61.4,
69754,CEU3231120001    ,2018,M13,60.5,
69767,CEU3231120001    ,2019,M13,61.3,
69780,CEU3231120001    ,2020,M13,61.5,
69803,CEU3231122001    ,1990,M13,55.2,
69816,CEU3231122001    ,1991,M13,54.9,
69829,CEU3231122001    ,1992,M13,54.2,
69842,CEU3231122001    ,1993,M13,54.4,
69855,CEU3231122001    ,1994,M13,53.8,
69868,CEU3231122001    ,1995,M13,53.4,
69881,CEU3231122001    ,1996,M13,53.2,
69894,CEU3231122001    ,1997,M13,53.7,
69907,CEU3231122001    ,1998,M13,52.6,
69920,CEU3231122001    ,1999,M13,49.8,
69933,CEU3231122001    ,2000,M13,50.0,
69946,CEU3231122001    ,2001,M13,48.9,
69959,CEU3231122001    ,2002,M13,47.6,
69972,CEU3231122001    ,2003,M13,47.5,
69985,CEU3231122001    ,2004,M13,46.3,
69998,CEU3231122001    ,2005,M13,45.6,
70011,CEU3231122001    ,2006,M13,45.2,
70024,CEU3231122001    ,2007,M13,45.8,
70037,CEU3231122001    ,2008,M13,46.6,
70050,CEU3231122001    ,2009,M13,45.5,
70063,CEU3231122001    ,2010,M13,44.7,
70076,CEU3231122001    ,2011,M13,44.5,
70089,CEU3231122001    ,2012,M13,45.3,
70102,CEU3231122001    ,2013,M13,45.3,
70115,CEU3231122001    ,2014,M13,45.7,
70128,CEU3231122001    ,2015,M13,47.1,
70141,CEU3231122001    ,2016,M13,47.9,
70154,CEU3231122001    ,2017,M13,48.8,
70167,CEU3231122001    ,2018,M13,47.6,
70180,CEU3231122001    ,2019,M13,48.6,
70193,CEU3231122001    ,2020,M13,48.9,
70216,CEU3231123001    ,1990,M13,16.1,
70229,CEU3231123001    ,1991,M13,15.8,
70242,CEU3231123001    ,1992,M13,16.4,
70255,CEU3231123001    ,1993,M13,16.7,
70268,CEU3231123001    ,1994,M13,16.3,
70281,CEU3231123001    ,1995,M13,16.4,
70294,CEU3231123001    ,1996,M13,15.8,
70307,CEU3231123001    ,1997,M13,15.0,
70320,CEU3231123001    ,1998,M13,15.0,
70333,CEU3231123001    ,1999,M13,15.3,
70346,CEU3231123001    ,2000,M13,14.8,
70359,CEU3231123001    ,2001,M13,14.2,
70372,CEU3231123001    ,2002,M13,14.3,
70385,CEU3231123001    ,2003,M13,14.9,
70398,CEU3231123001    ,2004,M13,14.0,
70411,CEU3231123001    ,2005,M13,14.9,
70424,CEU3231123001    ,2006,M13,15.3,
70437,CEU3231123001    ,2007,M13,15.6,
70450,CEU3231123001    ,2008,M13,15.3,
70463,CEU3231123001    ,2009,M13,14.2,
70476,CEU3231123001    ,2010,M13,14.5,
70489,CEU3231123001    ,2011,M13,14.9,
70502,CEU3231123001    ,2012,M13,14.6,
70515,CEU3231123001    ,2013,M13,13.8,
70528,CEU3231123001    ,2014,M13,13.0,
70541,CEU3231123001    ,2015,M13,12.7,
70554,CEU3231123001    ,2016,M13,12.6,
70567,CEU3231123001    ,2017,M13,12.6,
70580,CEU3231123001    ,2018,M13,12.9,
70593,CEU3231123001    ,2019,M13,12.7,
70606,CEU3231123001    ,2020,M13,12.6,
70629,CEU3231130001    ,1990,M13,99.4,
70642,CEU3231130001    ,1991,M13,100.1,
70655,CEU3231130001    ,1992,M13,102.9,
70668,CEU3231130001    ,1993,M13,101.9,
70681,CEU3231130001    ,1994,M13,99.4,
70694,CEU3231130001    ,1995,M13,100.2,
70707,CEU3231130001    ,1996,M13,99.4,
70720,CEU3231130001    ,1997,M13,98.6,
70733,CEU3231130001    ,1998,M13,98.3,
70746,CEU3231130001    ,1999,M13,94.4,
70759,CEU3231130001    ,2000,M13,92.1,
70772,CEU3231130001    ,2001,M13,88.6,
70785,CEU3231130001    ,2002,M13,84.3,
70798,CEU3231130001    ,2003,M13,84.5,
70811,CEU3231130001    ,2004,M13,82.7,
70824,CEU3231130001    ,2005,M13,78.7,
70837,CEU3231130001    ,2006,M13,75.1,
70850,CEU3231130001    ,2007,M13,73.3,
70863,CEU3231130001    ,2008,M13,72.7,
70876,CEU3231130001    ,2009,M13,70.9,
70889,CEU3231130001    ,2010,M13,69.1,
70902,CEU3231130001    ,2011,M13,66.7,
70915,CEU3231130001    ,2012,M13,67.3,
70928,CEU3231130001    ,2013,M13,69.2,
70941,CEU3231130001    ,2014,M13,69.7,
70954,CEU3231130001    ,2015,M13,72.7,
70967,CEU3231130001    ,2016,M13,75.5,
70980,CEU3231130001    ,2017,M13,75.7,
70993,CEU3231130001    ,2018,M13,76.7,
71006,CEU3231130001    ,2019,M13,77.4,
71019,CEU3231130001    ,2020,M13,72.9,
71042,CEU3231130006    ,1990,M13,81.9,
71055,CEU3231130006    ,1991,M13,81.6,
71068,CEU3231130006    ,1992,M13,84.0,
71081,CEU3231130006    ,1993,M13,83.0,
71094,CEU3231130006    ,1994,M13,80.6,
71107,CEU3231130006    ,1995,M13,81.6,
71120,CEU3231130006    ,1996,M13,81.7,
71133,CEU3231130006    ,1997,M13,81.0,
71146,CEU3231130006    ,1998,M13,79.7,
71159,CEU3231130006    ,1999,M13,76.4,
71172,CEU3231130006    ,2000,M13,73.4,
71185,CEU3231130006    ,2001,M13,70.2,
71198,CEU3231130006    ,2002,M13,67.0,
71211,CEU3231130006    ,2003,M13,68.3,
71224,CEU3231130006    ,2004,M13,68.3,
71237,CEU3231130006    ,2005,M13,62.8,
71250,CEU3231130006    ,2006,M13,55.2,
71263,CEU3231130006    ,2007,M13,53.6,
71276,CEU3231130006    ,2008,M13,55.7,
71289,CEU3231130006    ,2009,M13,55.8,
71302,CEU3231130006    ,2010,M13,54.6,
71315,CEU3231130006    ,2011,M13,50.9,
71328,CEU3231130006    ,2012,M13,51.7,
71341,CEU3231130006    ,2013,M13,53.0,
71354,CEU3231130006    ,2014,M13,54.8,
71367,CEU3231130006    ,2015,M13,56.7,
71380,CEU3231130006    ,2016,M13,58.8,
71393,CEU3231130006    ,2017,M13,57.0,
71406,CEU3231130006    ,2018,M13,56.0,
71419,CEU3231130006    ,2019,M13,58.1,
71432,CEU3231130006    ,2020,M13,56.2,
71455,CEU3231130010    ,1990,M13,49.0,
71468,CEU3231130010    ,1991,M13,48.2,
71481,CEU3231130010    ,1992,M13,48.8,
71494,CEU3231130010    ,1993,M13,48.3,
71507,CEU3231130010    ,1994,M13,47.5,
71520,CEU3231130010    ,1995,M13,48.9,
71533,CEU3231130010    ,1996,M13,48.9,
71546,CEU3231130010    ,1997,M13,47.7,
71559,CEU3231130010    ,1998,M13,46.7,
71572,CEU3231130010    ,1999,M13,44.2,
71585,CEU3231130010    ,2000,M13,43.4,
71598,CEU3231130010    ,2001,M13,40.7,
71611,CEU3231130010    ,2002,M13,38.2,
71624,CEU3231130010    ,2003,M13,38.6,
71637,CEU3231130010    ,2004,M13,36.1,
71650,CEU3231130010    ,2005,M13,37.6,
71663,CEU3231130010    ,2006,M13,37.7,
71676,CEU3231130010    ,2007,M13,37.1,
71689,CEU3231130010    ,2008,M13,34.3,
71702,CEU3231130010    ,2009,M13,35.1,
71715,CEU3231130010    ,2010,M13,35.9,
71728,CEU3231130010    ,2011,M13,34.6,
71741,CEU3231130010    ,2012,M13,34.7,
71754,CEU3231130010    ,2013,M13,34.6,
71767,CEU3231130010    ,2014,M13,33.5,
71780,CEU3231130010    ,2015,M13,32.3,
71793,CEU3231130010    ,2016,M13,30.8,
71806,CEU3231130010    ,2017,M13,32.5,
71819,CEU3231130010    ,2018,M13,37.0,
71832,CEU3231130010    ,2019,M13,37.3,
71845,CEU3231130010    ,2020,M13,35.9,
71868,CEU3231135001    ,1990,M13,55.2,
71881,CEU3231135001    ,1991,M13,55.4,
71894,CEU3231135001    ,1992,M13,57.2,
71907,CEU3231135001    ,1993,M13,56.8,
71920,CEU3231135001    ,1994,M13,55.7,
71933,CEU3231135001    ,1995,M13,56.7,
71946,CEU3231135001    ,1996,M13,57.2,
71959,CEU3231135001    ,1997,M13,56.9,
71972,CEU3231135001    ,1998,M13,56.8,
71985,CEU3231135001    ,1999,M13,53.9,
71998,CEU3231135001    ,2000,M13,52.8,
72011,CEU3231135001    ,2001,M13,50.6,
72024,CEU3231135001    ,2002,M13,48.4,
72037,CEU3231135001    ,2003,M13,47.7,
72050,CEU3231135001    ,2004,M13,47.0,
72063,CEU3231135001    ,2005,M13,46.5,
72076,CEU3231135001    ,2006,M13,44.3,
72089,CEU3231135001    ,2007,M13,43.0,
72102,CEU3231135001    ,2008,M13,41.0,
72115,CEU3231135001    ,2009,M13,40.8,
72128,CEU3231135001    ,2010,M13,40.3,
72141,CEU3231135001    ,2011,M13,38.6,
72154,CEU3231135001    ,2012,M13,38.1,
72167,CEU3231135001    ,2013,M13,37.9,
72180,CEU3231135001    ,2014,M13,38.4,
72193,CEU3231135001    ,2015,M13,39.6,
72206,CEU3231135001    ,2016,M13,40.8,
72219,CEU3231135001    ,2017,M13,41.0,
72232,CEU3231135001    ,2018,M13,42.2,
72245,CEU3231135001    ,2019,M13,42.4,
72258,CEU3231135001    ,2020,M13,37.9,
72281,CEU3231140001    ,1990,M13,218.1,
72294,CEU3231140001    ,1991,M13,221.6,
72307,CEU3231140001    ,1992,M13,217.8,
