,series_id,year,period,value,footnote_codes
0,WPS14                         ,1969,M01,39.8,
1,WPS14                         ,1969,M02,39.9,
2,WPS14                         ,1969,M03,39.9,
3,WPS14                         ,1969,M04,40.1,
4,WPS14                         ,1969,M05,40.1,
5,WPS14                         ,1969,M06,40.3,
6,WPS14                         ,1969,M07,40.4,
7,WPS14                         ,1969,M08,40.2,
8,WPS14                         ,1969,M09,40.6,
9,WPS14                         ,1969,M10,40.9,
10,WPS14                         ,1969,M11,41.3,
11,WPS14                         ,1969,M12,40.9,
12,WPS14                         ,1970,M01,40.9,
13,WPS14                         ,1970,M02,41.0,
14,WPS14                         ,1970,M03,41.2,
15,WPS14                         ,1970,M04,41.3,
16,WPS14                         ,1970,M05,41.4,
17,WPS14                         ,1970,M06,41.5,
18,WPS14                         ,1970,M07,41.6,
19,WPS14                         ,1970,M08,41.6,
20,WPS14                         ,1970,M09,42.1,
21,WPS14                         ,1970,M10,43.3,
22,WPS14                         ,1970,M11,43.6,
23,WPS14                         ,1970,M12,43.3,
24,WPS14                         ,1971,M01,43.4,
25,WPS14                         ,1971,M02,43.7,
26,WPS14                         ,1971,M03,43.8,
27,WPS14                         ,1971,M04,44.0,
28,WPS14                         ,1971,M05,44.1,
29,WPS14                         ,1971,M06,44.2,
30,WPS14                         ,1971,M07,44.4,
31,WPS14                         ,1971,M08,44.4,
32,WPS14                         ,1971,M09,44.4,
33,WPS14                         ,1971,M10,44.3,
34,WPS14                         ,1971,M11,44.4,
35,WPS14                         ,1971,M12,44.9,
36,WPS14                         ,1972,M01,45.1,
37,WPS14                         ,1972,M02,45.3,
38,WPS14                         ,1972,M03,45.4,
39,WPS14                         ,1972,M04,45.5,
40,WPS14                         ,1972,M05,45.6,
41,WPS14                         ,1972,M06,45.9,
42,WPS14                         ,1972,M07,45.9,
43,WPS14                         ,1972,M08,46.0,
44,WPS14                         ,1972,M09,46.3,
45,WPS14                         ,1972,M10,45.1,
46,WPS14                         ,1972,M11,45.0,
47,WPS14                         ,1972,M12,45.4,
48,WPS14                         ,1973,M01,45.4,
49,WPS14                         ,1973,M02,45.5,
50,WPS14                         ,1973,M03,45.8,
51,WPS14                         ,1973,M04,46.0,
52,WPS14                         ,1973,M05,46.2,
53,WPS14                         ,1973,M06,46.3,
54,WPS14                         ,1973,M07,46.3,
55,WPS14                         ,1973,M08,46.5,
56,WPS14                         ,1973,M09,46.5,
57,WPS14                         ,1973,M10,46.0,
58,WPS14                         ,1973,M11,46.1,
59,WPS14                         ,1973,M12,46.7,
60,WPS14                         ,1974,M01,47.2,
61,WPS14                         ,1974,M02,47.4,
62,WPS14                         ,1974,M03,47.5,
63,WPS14                         ,1974,M04,47.8,
64,WPS14                         ,1974,M05,48.7,
65,WPS14                         ,1974,M06,49.4,
66,WPS14                         ,1974,M07,50.5,
67,WPS14                         ,1974,M08,51.2,
68,WPS14                         ,1974,M09,51.8,
69,WPS14                         ,1974,M10,53.4,
70,WPS14                         ,1974,M11,53.8,
71,WPS14                         ,1974,M12,54.4,
72,WPS141                        ,1947,M04,24.8,
73,WPS141                        ,1947,M05,25.0,
74,WPS141                        ,1947,M06,25.2,
75,WPS141                        ,1947,M07,25.1,
76,WPS141                        ,1947,M08,25.9,
77,WPS141                        ,1947,M09,26.2,
78,WPS141                        ,1947,M10,26.3,
79,WPS141                        ,1947,M11,26.5,
80,WPS141                        ,1947,M12,26.5,
81,WPS141                        ,1948,M01,26.7,
82,WPS141                        ,1948,M02,26.7,
83,WPS141                        ,1948,M03,26.8,
84,WPS141                        ,1948,M04,26.8,
85,WPS141                        ,1948,M05,26.9,
86,WPS141                        ,1948,M06,28.0,
87,WPS141                        ,1948,M07,28.6,
88,WPS141                        ,1948,M08,29.4,
89,WPS141                        ,1948,M09,29.4,
90,WPS141                        ,1948,M10,29.5,
91,WPS141                        ,1948,M11,29.6,
92,WPS141                        ,1948,M12,29.8,
93,WPS141                        ,1949,M01,29.9,
94,WPS141                        ,1949,M02,30.3,
95,WPS141                        ,1949,M03,30.4,
96,WPS141                        ,1949,M04,30.2,
97,WPS141                        ,1949,M05,30.2,
98,WPS141                        ,1949,M06,30.2,
99,WPS141                        ,1949,M07,30.2,
100,WPS141                        ,1949,M08,30.1,
101,WPS141                        ,1949,M09,30.0,
102,WPS141                        ,1949,M10,30.0,
103,WPS141                        ,1949,M11,30.0,
104,WPS141                        ,1949,M12,30.0,
105,WPS141                        ,1950,M01,29.9,
106,WPS141                        ,1950,M02,29.9,
107,WPS141                        ,1950,M03,29.8,
108,WPS141                        ,1950,M04,29.8,
109,WPS141                        ,1950,M05,30.0,
110,WPS141                        ,1950,M06,30.1,
111,WPS141                        ,1950,M07,30.0,
112,WPS141                        ,1950,M08,30.0,
113,WPS141                        ,1950,M09,30.0,
114,WPS141                        ,1950,M10,30.0,
115,WPS141                        ,1950,M11,30.1,
116,WPS141                        ,1950,M12,30.3,
117,WPS141                        ,1951,M01,30.4,
118,WPS141                        ,1951,M02,30.6,
119,WPS141                        ,1951,M03,31.3,
120,WPS141                        ,1951,M04,31.4,
121,WPS141                        ,1951,M05,31.4,
122,WPS141                        ,1951,M06,31.5,
123,WPS141                        ,1951,M07,31.5,
124,WPS141                        ,1951,M08,31.7,
125,WPS141                        ,1951,M09,31.9,
126,WPS141                        ,1951,M10,32.4,
127,WPS141                        ,1951,M11,32.5,
128,WPS141                        ,1951,M12,32.5,
129,WPS141                        ,1952,M01,32.6,
130,WPS141                        ,1952,M02,33.4,
131,WPS141                        ,1952,M03,33.4,
132,WPS141                        ,1952,M04,33.5,
133,WPS141                        ,1952,M05,33.5,
134,WPS141                        ,1952,M06,33.6,
135,WPS141                        ,1952,M07,33.6,
136,WPS141                        ,1952,M08,33.6,
137,WPS141                        ,1952,M09,33.6,
138,WPS141                        ,1952,M10,33.5,
139,WPS141                        ,1952,M11,33.4,
140,WPS141                        ,1952,M12,33.4,
141,WPS141                        ,1953,M01,33.4,
142,WPS141                        ,1953,M02,33.4,
143,WPS141                        ,1953,M03,33.4,
144,WPS141                        ,1953,M04,33.1,
145,WPS141                        ,1953,M05,33.2,
146,WPS141                        ,1953,M06,33.3,
147,WPS141                        ,1953,M07,33.3,
148,WPS141                        ,1953,M08,33.4,
149,WPS141                        ,1953,M09,33.3,
150,WPS141                        ,1953,M10,33.3,
151,WPS141                        ,1953,M11,33.1,
152,WPS141                        ,1953,M12,33.1,
153,WPS141                        ,1954,M01,33.1,
154,WPS141                        ,1954,M02,33.1,
155,WPS141                        ,1954,M03,33.1,
156,WPS141                        ,1954,M04,33.1,
157,WPS141                        ,1954,M05,33.2,
158,WPS141                        ,1954,M06,33.3,
159,WPS141                        ,1954,M07,33.3,
160,WPS141                        ,1954,M08,33.4,
161,WPS141                        ,1954,M09,33.4,
162,WPS141                        ,1954,M10,33.3,
163,WPS141                        ,1954,M11,33.6,
164,WPS141                        ,1954,M12,33.8,
165,WPS141                        ,1955,M01,33.9,
166,WPS141                        ,1955,M02,33.9,
167,WPS141                        ,1955,M03,33.9,
168,WPS141                        ,1955,M04,34.0,
169,WPS141                        ,1955,M05,34.1,
170,WPS141                        ,1955,M06,34.2,
171,WPS141                        ,1955,M07,34.2,
172,WPS141                        ,1955,M08,34.3,
173,WPS141                        ,1955,M09,34.3,
174,WPS141                        ,1955,M10,35.1,
175,WPS141                        ,1955,M11,35.1,
176,WPS141                        ,1955,M12,35.2,
177,WPS141                        ,1956,M01,35.3,
178,WPS141                        ,1956,M02,35.5,
179,WPS141                        ,1956,M03,36.0,
180,WPS141                        ,1956,M04,36.0,
181,WPS141                        ,1956,M05,36.1,
182,WPS141                        ,1956,M06,36.2,
183,WPS141                        ,1956,M07,36.2,
184,WPS141                        ,1956,M08,36.3,
185,WPS141                        ,1956,M09,36.5,
186,WPS141                        ,1956,M10,36.8,
187,WPS141                        ,1956,M11,37.2,
188,WPS141                        ,1956,M12,37.3,
189,WPS141                        ,1957,M01,37.4,
190,WPS141                        ,1957,M02,37.5,
191,WPS141                        ,1957,M03,37.5,
192,WPS141                        ,1957,M04,37.6,
193,WPS141                        ,1957,M05,37.7,
194,WPS141                        ,1957,M06,37.8,
195,WPS141                        ,1957,M07,37.8,
196,WPS141                        ,1957,M08,37.9,
197,WPS141                        ,1957,M09,38.1,
198,WPS141                        ,1957,M10,38.1,
199,WPS141                        ,1957,M11,38.5,
200,WPS141                        ,1957,M12,38.7,
201,WPS141                        ,1958,M01,38.7,
202,WPS141                        ,1958,M02,38.8,
203,WPS141                        ,1958,M03,38.8,
204,WPS141                        ,1958,M04,38.8,
205,WPS141                        ,1958,M05,38.9,
206,WPS141                        ,1958,M06,38.9,
207,WPS141                        ,1958,M07,39.0,
208,WPS141                        ,1958,M08,39.1,
209,WPS141                        ,1958,M09,39.2,
210,WPS141                        ,1958,M10,39.2,
211,WPS141                        ,1958,M11,39.7,
212,WPS141                        ,1958,M12,39.8,
213,WPS141                        ,1959,M01,39.9,
214,WPS141                        ,1959,M02,39.9,
215,WPS141                        ,1959,M03,40.0,
216,WPS141                        ,1959,M04,40.0,
217,WPS141                        ,1959,M05,40.0,
218,WPS141                        ,1959,M06,40.0,
219,WPS141                        ,1959,M07,40.1,
220,WPS141                        ,1959,M08,40.1,
221,WPS141                        ,1959,M09,40.3,
222,WPS141                        ,1959,M10,39.8,
223,WPS141                        ,1959,M11,39.4,
224,WPS141                        ,1959,M12,39.4,
225,WPS141                        ,1960,M01,39.5,
226,WPS141                        ,1960,M02,39.5,
227,WPS141                        ,1960,M03,39.6,
228,WPS141                        ,1960,M04,39.6,
229,WPS141                        ,1960,M05,39.6,
230,WPS141                        ,1960,M06,39.6,
231,WPS141                        ,1960,M07,39.6,
232,WPS141                        ,1960,M08,39.7,
233,WPS141                        ,1960,M09,38.1,
234,WPS141                        ,1960,M10,39.3,
235,WPS141                        ,1960,M11,39.1,
236,WPS141                        ,1960,M12,39.2,
237,WPS141                        ,1961,M01,39.3,
238,WPS141                        ,1961,M02,39.2,
239,WPS141                        ,1961,M03,39.2,
240,WPS141                        ,1961,M04,39.2,
241,WPS141                        ,1961,M05,39.2,
242,WPS141                        ,1961,M06,39.2,
243,WPS141                        ,1961,M07,39.2,
244,WPS141                        ,1961,M08,39.2,
245,WPS141                        ,1961,M09,39.3,
246,WPS141                        ,1961,M10,39.3,
247,WPS141                        ,1961,M11,39.2,
248,WPS141                        ,1961,M12,39.1,
249,WPS141                        ,1962,M01,39.1,
250,WPS141                        ,1962,M02,39.1,
251,WPS141                        ,1962,M03,39.1,
252,WPS141                        ,1962,M04,39.1,
253,WPS141                        ,1962,M05,39.1,
254,WPS141                        ,1962,M06,39.4,
255,WPS141                        ,1962,M07,39.4,
256,WPS141                        ,1962,M08,39.4,
257,WPS141                        ,1962,M09,39.5,
258,WPS141                        ,1962,M10,39.2,
259,WPS141                        ,1962,M11,39.2,
260,WPS141                        ,1962,M12,39.2,
261,WPS141                        ,1963,M01,39.2,
262,WPS141                        ,1963,M02,39.2,
263,WPS141                        ,1963,M03,39.2,
264,WPS141                        ,1963,M04,39.0,
265,WPS141                        ,1963,M05,38.9,
266,WPS141                        ,1963,M06,38.7,
267,WPS141                        ,1963,M07,38.9,
268,WPS141                        ,1963,M08,38.8,
269,WPS141                        ,1963,M09,38.8,
270,WPS141                        ,1963,M10,38.9,
271,WPS141                        ,1963,M11,38.9,
272,WPS141                        ,1963,M12,38.8,
273,WPS141                        ,1964,M01,38.8,
274,WPS141                        ,1964,M02,38.9,
275,WPS141                        ,1964,M03,38.9,
276,WPS141                        ,1964,M04,38.9,
277,WPS141                        ,1964,M05,39.4,
278,WPS141                        ,1964,M06,39.3,
279,WPS141                        ,1964,M07,39.3,
280,WPS141                        ,1964,M08,39.3,
281,WPS141                        ,1964,M09,39.3,
282,WPS141                        ,1964,M10,39.2,
283,WPS141                        ,1964,M11,39.1,
284,WPS141                        ,1964,M12,39.1,
285,WPS141                        ,1965,M01,39.1,
286,WPS141                        ,1965,M02,39.2,
287,WPS141                        ,1965,M03,39.2,
288,WPS141                        ,1965,M04,39.2,
289,WPS141                        ,1965,M05,39.3,
290,WPS141                        ,1965,M06,39.2,
291,WPS141                        ,1965,M07,39.2,
292,WPS141                        ,1965,M08,39.3,
293,WPS141                        ,1965,M09,39.3,
294,WPS141                        ,1965,M10,39.0,
295,WPS141                        ,1965,M11,39.0,
296,WPS141                        ,1965,M12,39.0,
297,WPS141                        ,1966,M01,39.0,
298,WPS141                        ,1966,M02,39.0,
299,WPS141                        ,1966,M03,39.0,
300,WPS141                        ,1966,M04,39.0,
301,WPS141                        ,1966,M05,39.4,
302,WPS141                        ,1966,M06,39.3,
303,WPS141                        ,1966,M07,39.3,
304,WPS141                        ,1966,M08,39.3,
305,WPS141                        ,1966,M09,39.3,
306,WPS141                        ,1966,M10,39.4,
307,WPS141                        ,1966,M11,39.4,
308,WPS141                        ,1966,M12,39.4,
309,WPS141                        ,1967,M01,39.4,
310,WPS141                        ,1967,M02,39.5,
311,WPS141                        ,1967,M03,39.5,
312,WPS141                        ,1967,M04,39.6,
313,WPS141                        ,1967,M05,39.6,
314,WPS141                        ,1967,M06,39.6,
315,WPS141                        ,1967,M07,39.7,
316,WPS141                        ,1967,M08,40.0,
317,WPS141                        ,1967,M09,40.1,
318,WPS141                        ,1967,M10,40.2,
319,WPS141                        ,1967,M11,40.2,
320,WPS141                        ,1967,M12,40.3,
321,WPS141                        ,1968,M01,40.5,
322,WPS141                        ,1968,M02,40.6,
323,WPS141                        ,1968,M03,40.6,
324,WPS141                        ,1968,M04,40.7,
325,WPS141                        ,1968,M05,40.8,
326,WPS141                        ,1968,M06,40.9,
327,WPS141                        ,1968,M07,41.0,
328,WPS141                        ,1968,M08,41.1,
329,WPS141                        ,1968,M09,41.2,
330,WPS141                        ,1968,M10,41.2,
331,WPS141                        ,1968,M11,41.2,
332,WPS141                        ,1968,M12,41.3,
333,WPS141                        ,1969,M01,41.3,
334,WPS141                        ,1969,M02,41.3,
335,WPS141                        ,1969,M03,41.4,
336,WPS141                        ,1969,M04,41.5,
337,WPS141                        ,1969,M05,41.6,
338,WPS141                        ,1969,M06,41.7,
339,WPS141                        ,1969,M07,41.8,
340,WPS141                        ,1969,M08,41.7,
341,WPS141                        ,1969,M09,41.9,
342,WPS141                        ,1969,M10,42.0,
343,WPS141                        ,1969,M11,42.1,
344,WPS141                        ,1969,M12,42.3,
345,WPS141                        ,1970,M01,42.3,
346,WPS141                        ,1970,M02,42.4,
347,WPS141                        ,1970,M03,42.6,
348,WPS141                        ,1970,M04,42.6,
349,WPS141                        ,1970,M05,42.8,
350,WPS141                        ,1970,M06,42.9,
351,WPS141                        ,1970,M07,42.9,
352,WPS141                        ,1970,M08,43.1,
353,WPS141                        ,1970,M09,43.3,
354,WPS141                        ,1970,M10,44.5,
355,WPS141                        ,1970,M11,44.7,
356,WPS141                        ,1970,M12,44.7,
357,WPS141                        ,1971,M01,45.0,
358,WPS141                        ,1971,M02,45.3,
359,WPS141                        ,1971,M03,45.4,
360,WPS141                        ,1971,M04,45.6,
361,WPS141                        ,1971,M05,45.7,
362,WPS141                        ,1971,M06,45.8,
363,WPS141                        ,1971,M07,46.1,
364,WPS141                        ,1971,M08,46.1,
365,WPS141                        ,1971,M09,45.9,
366,WPS141                        ,1971,M10,45.7,
367,WPS141                        ,1971,M11,45.7,
368,WPS141                        ,1971,M12,46.5,
369,WPS141                        ,1972,M01,46.6,
370,WPS141                        ,1972,M02,46.8,
371,WPS141                        ,1972,M03,46.8,
372,WPS141                        ,1972,M04,47.0,
373,WPS141                        ,1972,M05,47.1,
374,WPS141                        ,1972,M06,47.4,
375,WPS141                        ,1972,M07,47.4,
376,WPS141                        ,1972,M08,47.5,
377,WPS141                        ,1972,M09,47.8,
378,WPS141                        ,1972,M10,46.4,
379,WPS141                        ,1972,M11,46.2,
380,WPS141                        ,1972,M12,46.8,
381,WPS141                        ,1973,M01,46.7,
382,WPS141                        ,1973,M02,46.8,
383,WPS141                        ,1973,M03,47.0,
384,WPS141                        ,1973,M04,47.4,
385,WPS141                        ,1973,M05,47.6,
386,WPS141                        ,1973,M06,47.6,
387,WPS141                        ,1973,M07,47.7,
388,WPS141                        ,1973,M08,47.8,
389,WPS141                        ,1973,M09,47.8,
390,WPS141                        ,1973,M10,47.4,
391,WPS141                        ,1973,M11,47.3,
392,WPS141                        ,1973,M12,47.9,
393,WPS141                        ,1974,M01,48.7,
394,WPS141                        ,1974,M02,48.8,
395,WPS141                        ,1974,M03,48.9,
