UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,7,2018,999,325651278,159972821,165678457,122968931,125764797,20859341,22794427,2099873,2077661,9201816,10092932,402953,397778,4439907,4550862,126923913,129795497,22851675,24878372,3417195,3470068,10853958,11749485,793443,796409,130082501,136254668,96782339,100028825,19411705,21292807,1176567,1221906,8895396,9784998,290093,291818,3526401,3634314,99922315,103244858,20980566,22943420,2111153,2232518,10294838,11187746,595563,605532,29890320,29423789,26186592,25735972,1447636,1501620,923306,855755,306420,307934,112860,105960,913506,916548,27001598,26550639,1871109,1934952,1306042,1237550,559120,561739,197880,190877
C,7,2018,0,3826908,1955778,1871130,1362487,1300664,307345,299420,36627,34726,115786,108519,7209,6809,126324,120992,1478679,1411928,377048,366534,60231,57401,162549,152976,15885,15017,1453677,1386985,951996,904489,273054,266197,14632,14116,108158,101130,4523,4210,101314,96843,1045693,994022,329793,320731,29818,28699,147142,138118,10900,10230,502101,484145,410491,396175,34291,33223,21995,20610,7628,7389,2686,2599,25010,24149,432986,417906,47255,45803,30413,28702,15407,14858,4985,4787
C,7,2018,1,3897917,1993267,1904650,1393112,1327518,306772,298680,35719,34760,123259,115540,7393,6995,127012,121157,1509819,1438899,375852,365291,59697,57772,171054,160342,16308,15320,1482580,1412446,971660,921856,273061,265983,15657,15037,115612,108235,4727,4381,101863,96954,1065724,1011452,329123,320064,31213,29897,155570,145521,11336,10499,510687,492204,421452,405662,33711,32697,20062,19723,7647,7305,2666,2614,25149,24203,444095,427447,46729,45227,28484,27875,15484,14821,4972,4821
C,7,2018,2,3996742,2042649,1954093,1442750,1374411,307109,300948,35375,33989,122008,115019,7253,6965,128154,122761,1560579,1487312,376549,367998,59939,57538,170059,160537,16218,15451,1519114,1451324,1007295,956255,274001,268910,16168,15561,114330,107786,4584,4391,102736,98421,1102234,1047240,330455,323433,32133,30869,154399,145743,11202,10650,523535,502769,435455,418156,33108,32038,19207,18428,7678,7233,2669,2574,25418,24340,458345,440072,46094,44565,27806,26669,15660,14794,5016,4801
C,7,2018,3,4035053,2062901,1972152,1453787,1385725,313185,304820,35153,34023,125521,117907,7208,6946,128047,122731,1571512,1498580,382559,371786,59828,57626,173389,163440,16179,15416,1539654,1467911,1017916,966093,279574,272281,16514,15820,118157,110816,4604,4400,102889,98501,1112982,1057121,335989,326750,32657,31200,158246,148870,11278,10688,523247,504241,435871,419632,33611,32539,18639,18203,7364,7091,2604,2546,25158,24230,458530,441459,46570,45036,27171,26426,15143,14570,4901,4728
C,7,2018,4,4021907,2058006,1963901,1454098,1381643,313054,304535,35352,34026,122088,115695,6895,6644,126519,121358,1570444,1493222,381117,370868,59920,57492,169630,160475,15892,15137,1538894,1465755,1021519,966821,279365,272140,16854,16146,115057,108991,4469,4280,101630,97377,1115471,1056811,334663,326111,32970,31475,154847,146360,11119,10557,519112,498146,432579,414822,33689,32395,18498,17880,7031,6704,2426,2364,24889,23981,454973,436411,46454,44757,26950,26017,14783,14115,4773,4580
C,7,2018,5,4012789,2050649,1962140,1447334,1381118,311505,303295,35060,33769,124699,117604,6926,6620,125125,119734,1562254,1491023,378373,368108,59471,57243,172118,162267,16018,15135,1534659,1464067,1015961,965012,278796,271633,17041,16286,117867,110898,4545,4272,100449,95966,1108677,1053531,333060,324237,33053,31657,157584,148206,11260,10513,515990,498073,431373,416106,32709,31662,18019,17483,6832,6706,2381,2348,24676,23768,453577,437492,45313,43871,26418,25586,14534,14061,4758,4622
C,7,2018,6,4019106,2054029,1965077,1456470,1389415,312089,303029,36022,34776,119420,113515,6678,6431,123350,117911,1569732,1497679,378224,366676,60482,58179,165682,157352,15562,14894,1533149,1462806,1020597,968874,279714,271956,17070,16452,112716,107056,4307,4135,98745,94333,1111717,1055929,333259,323536,33071,31738,151394,143626,10853,10342,520880,502271,435873,420541,32375,31073,18952,18324,6704,6459,2371,2296,24605,23578,458015,441750,44965,43140,27411,26441,14288,13726,4709,4552
C,7,2018,7,4063647,2078197,1985450,1482655,1411891,313900,305083,34486,33432,116891,111151,6616,6289,123649,117604,1596265,1519870,380045,368398,59272,57185,163079,154712,15572,14706,1544260,1470553,1030702,976861,282964,274674,17348,16499,110353,104882,4275,4046,98618,93591,1121750,1063209,336427,325727,33511,31952,148795,141098,10838,10180,533937,514897,451953,435030,30936,30409,17138,16933,6538,6269,2341,2243,25031,24013,474515,456661,43618,42671,25761,25233,14284,13614,4734,4526
C,7,2018,8,4059209,2071493,1987716,1486030,1420139,311486,302895,33366,32527,113082,108678,6245,6076,121284,117401,1597685,1527995,376495,366419,58004,56658,157773,151427,14888,14372,1534045,1469198,1027719,977937,281761,274168,17177,16976,106923,102815,4174,4032,96291,93270,1116777,1064005,334126,325245,33092,32730,144019,138372,10523,10071,537448,518518,458311,442202,29725,28727,16189,15551,6159,5863,2071,2044,24993,24131,480908,463990,42369,41174,24912,23928,13754,13055,4365,4301
