,series_id,year,period,value,footnote_codes
0,PCU212---212---               ,2003,M12,100.0,
1,PCU212---212---               ,2004,M01,103.3,
2,PCU212---212---               ,2004,M02,105.2,
3,PCU212---212---               ,2004,M03,105.9,
4,PCU212---212---               ,2004,M04,108.5,
5,PCU212---212---               ,2004,M05,107.3,
6,PCU212---212---               ,2004,M06,108.1,
7,PCU212---212---               ,2004,M07,110.2,
8,PCU212---212---               ,2004,M08,110.4,
9,PCU212---212---               ,2004,M09,112.3,
10,PCU212---212---               ,2004,M10,112.8,
11,PCU212---212---               ,2004,M11,114.0,
12,PCU212---212---               ,2004,M12,116.4,
13,PCU212---212---               ,2004,M13,109.5,
14,PCU212---212---               ,2005,M01,120.2,
15,PCU212---212---               ,2005,M02,121.0,
16,PCU212---212---               ,2005,M03,123.8,
17,PCU212---212---               ,2005,M04,124.0,
18,PCU212---212---               ,2005,M05,124.6,
19,PCU212---212---               ,2005,M06,127.0,
20,PCU212---212---               ,2005,M07,127.2,
21,PCU212---212---               ,2005,M08,127.6,
22,PCU212---212---               ,2005,M09,128.8,
23,PCU212---212---               ,2005,M10,130.4,
24,PCU212---212---               ,2005,M11,131.8,
25,PCU212---212---               ,2005,M12,132.5,
26,PCU212---212---               ,2005,M13,126.6,
27,PCU212---212---               ,2006,M01,136.8,
28,PCU212---212---               ,2006,M02,137.4,
29,PCU212---212---               ,2006,M03,140.0,
30,PCU212---212---               ,2006,M04,146.1,
31,PCU212---212---               ,2006,M05,154.8,
32,PCU212---212---               ,2006,M06,150.3,
33,PCU212---212---               ,2006,M07,154.0,
34,PCU212---212---               ,2006,M08,151.8,
35,PCU212---212---               ,2006,M09,152.9,
36,PCU212---212---               ,2006,M10,150.8,
37,PCU212---212---               ,2006,M11,149.3,
38,PCU212---212---               ,2006,M12,150.7,
39,PCU212---212---               ,2006,M13,147.9,
40,PCU212---212---               ,2007,M01,149.1,
41,PCU212---212---               ,2007,M02,150.8,
42,PCU212---212---               ,2007,M03,153.7,
43,PCU212---212---               ,2007,M04,158.2,
44,PCU212---212---               ,2007,M05,159.1,
45,PCU212---212---               ,2007,M06,159.3,
46,PCU212---212---               ,2007,M07,162.4,
47,PCU212---212---               ,2007,M08,160.8,
48,PCU212---212---               ,2007,M09,162.2,
49,PCU212---212---               ,2007,M10,162.4,
50,PCU212---212---               ,2007,M11,161.3,
51,PCU212---212---               ,2007,M12,161.2,
52,PCU212---212---               ,2007,M13,158.4,
53,PCU212---212---               ,2008,M01,164.9,
54,PCU212---212---               ,2008,M02,170.3,
55,PCU212---212---               ,2008,M03,174.8,
56,PCU212---212---               ,2008,M04,186.1,
57,PCU212---212---               ,2008,M05,184.7,
58,PCU212---212---               ,2008,M06,185.8,
59,PCU212---212---               ,2008,M07,191.8,
60,PCU212---212---               ,2008,M08,190.4,
