,series_id,year,period,value,footnote_codes
0,PCU1133--1133--               ,1981,M12,100.0,
1,PCU1133--1133--               ,1982,M01,99.6,
2,PCU1133--1133--               ,1982,M02,100.4,
3,PCU1133--1133--               ,1982,M03,101.4,
4,PCU1133--1133--               ,1982,M04,102.0,
5,PCU1133--1133--               ,1982,M05,101.1,
6,PCU1133--1133--               ,1982,M06,101.0,
7,PCU1133--1133--               ,1982,M07,99.0,
8,PCU1133--1133--               ,1982,M08,97.4,
9,PCU1133--1133--               ,1982,M09,96.1,
10,PCU1133--1133--               ,1982,M10,95.4,
11,PCU1133--1133--               ,1982,M11,95.7,
12,PCU1133--1133--               ,1982,M12,96.6,
13,PCU1133--1133--               ,1982,M13,98.8,
14,PCU1133--1133--               ,1983,M01,95.7,
15,PCU1133--1133--               ,1983,M02,96.2,
16,PCU1133--1133--               ,1983,M03,96.6,
17,PCU1133--1133--               ,1983,M04,96.9,
18,PCU1133--1133--               ,1983,M05,96.9,
19,PCU1133--1133--               ,1983,M06,97.5,
20,PCU1133--1133--               ,1983,M07,97.0,
21,PCU1133--1133--               ,1983,M08,97.2,
22,PCU1133--1133--               ,1983,M09,96.5,
23,PCU1133--1133--               ,1983,M10,95.8,
24,PCU1133--1133--               ,1983,M11,95.7,
25,PCU1133--1133--               ,1983,M12,95.9,
26,PCU1133--1133--               ,1983,M13,96.5,
27,PCU1133--1133--               ,1984,M01,95.8,
28,PCU1133--1133--               ,1984,M02,98.8,
29,PCU1133--1133--               ,1984,M03,96.4,
30,PCU1133--1133--               ,1984,M04,97.2,
31,PCU1133--1133--               ,1984,M05,97.3,
32,PCU1133--1133--               ,1984,M06,97.6,
33,PCU1133--1133--               ,1984,M07,97.2,
34,PCU1133--1133--               ,1984,M08,94.7,
35,PCU1133--1133--               ,1984,M09,95.2,
36,PCU1133--1133--               ,1984,M10,92.9,
37,PCU1133--1133--               ,1984,M11,92.9,
38,PCU1133--1133--               ,1984,M12,93.4,
39,PCU1133--1133--               ,1984,M13,95.8,
40,PCU1133--1133--               ,1985,M01,93.6,
41,PCU1133--1133--               ,1985,M02,94.9,
42,PCU1133--1133--               ,1985,M03,94.8,
43,PCU1133--1133--               ,1985,M04,95.5,
44,PCU1133--1133--               ,1985,M05,96.2,
45,PCU1133--1133--               ,1985,M06,96.2,
46,PCU1133--1133--               ,1985,M07,95.6,
47,PCU1133--1133--               ,1985,M08,95.2,
48,PCU1133--1133--               ,1985,M09,93.1,
49,PCU1133--1133--               ,1985,M10,93.9,
50,PCU1133--1133--               ,1985,M11,94.1,
51,PCU1133--1133--               ,1985,M12,94.1,
52,PCU1133--1133--               ,1985,M13,94.8,
53,PCU1133--1133--               ,1986,M01,94.0,
54,PCU1133--1133--               ,1986,M02,92.1,
55,PCU1133--1133--               ,1986,M03,93.2,
56,PCU1133--1133--               ,1986,M04,92.9,
57,PCU1133--1133--               ,1986,M05,93.2,
58,PCU1133--1133--               ,1986,M06,93.2,
59,PCU1133--1133--               ,1986,M07,92.7,
60,PCU1133--1133--               ,1986,M08,93.2,
61,PCU1133--1133--               ,1986,M09,93.1,
62,PCU1133--1133--               ,1986,M10,93.5,
63,PCU1133--1133--               ,1986,M11,93.5,
64,PCU1133--1133--               ,1986,M12,93.2,
65,PCU1133--1133--               ,1986,M13,93.1,
66,PCU1133--1133--               ,1987,M01,93.6,
67,PCU1133--1133--               ,1987,M02,94.9,
68,PCU1133--1133--               ,1987,M03,95.8,
69,PCU1133--1133--               ,1987,M04,95.3,
70,PCU1133--1133--               ,1987,M05,96.3,
71,PCU1133--1133--               ,1987,M06,97.4,
72,PCU1133--1133--               ,1987,M07,98.5,
73,PCU1133--1133--               ,1987,M08,101.3,
74,PCU1133--1133--               ,1987,M09,104.9,
75,PCU1133--1133--               ,1987,M10,107.1,
76,PCU1133--1133--               ,1987,M11,109.3,
77,PCU1133--1133--               ,1987,M12,111.0,
78,PCU1133--1133--               ,1987,M13,100.4,
79,PCU1133--1133--               ,1988,M01,112.7,
80,PCU1133--1133--               ,1988,M02,113.6,
81,PCU1133--1133--               ,1988,M03,114.0,
82,PCU1133--1133--               ,1988,M04,114.3,
83,PCU1133--1133--               ,1988,M05,113.4,
84,PCU1133--1133--               ,1988,M06,112.6,
85,PCU1133--1133--               ,1988,M07,112.8,
86,PCU1133--1133--               ,1988,M08,112.1,
87,PCU1133--1133--               ,1988,M09,112.0,
88,PCU1133--1133--               ,1988,M10,111.7,
89,PCU1133--1133--               ,1988,M11,112.1,
90,PCU1133--1133--               ,1988,M12,112.7,
91,PCU1133--1133--               ,1988,M13,112.8,
92,PCU1133--1133--               ,1989,M01,119.7,
93,PCU1133--1133--               ,1989,M02,120.7,
94,PCU1133--1133--               ,1989,M03,122.0,
95,PCU1133--1133--               ,1989,M04,125.0,
96,PCU1133--1133--               ,1989,M05,125.5,
97,PCU1133--1133--               ,1989,M06,127.5,
98,PCU1133--1133--               ,1989,M07,129.6,
99,PCU1133--1133--               ,1989,M08,131.9,
100,PCU1133--1133--               ,1989,M09,132.2,
101,PCU1133--1133--               ,1989,M10,134.0,
102,PCU1133--1133--               ,1989,M11,134.0,
103,PCU1133--1133--               ,1989,M12,133.7,
104,PCU1133--1133--               ,1989,M13,128.0,
105,PCU1133--1133--               ,1990,M01,134.9,
106,PCU1133--1133--               ,1990,M02,135.1,
107,PCU1133--1133--               ,1990,M03,136.3,
108,PCU1133--1133--               ,1990,M04,136.6,
109,PCU1133--1133--               ,1990,M05,136.8,
110,PCU1133--1133--               ,1990,M06,136.5,
111,PCU1133--1133--               ,1990,M07,138.0,
112,PCU1133--1133--               ,1990,M08,137.2,
113,PCU1133--1133--               ,1990,M09,135.9,
114,PCU1133--1133--               ,1990,M10,134.1,
115,PCU1133--1133--               ,1990,M11,132.9,
116,PCU1133--1133--               ,1990,M12,132.5,
117,PCU1133--1133--               ,1990,M13,135.6,
118,PCU1133--1133--               ,1991,M01,133.0,
119,PCU1133--1133--               ,1991,M02,133.2,
120,PCU1133--1133--               ,1991,M03,132.5,
121,PCU1133--1133--               ,1991,M04,133.1,
122,PCU1133--1133--               ,1991,M05,135.1,
123,PCU1133--1133--               ,1991,M06,135.4,
124,PCU1133--1133--               ,1991,M07,135.5,
125,PCU1133--1133--               ,1991,M08,136.1,
126,PCU1133--1133--               ,1991,M09,135.6,
127,PCU1133--1133--               ,1991,M10,137.4,
128,PCU1133--1133--               ,1991,M11,136.5,
129,PCU1133--1133--               ,1991,M12,136.4,
130,PCU1133--1133--               ,1991,M13,135.0,
131,PCU1133--1133--               ,1992,M01,141.3,
132,PCU1133--1133--               ,1992,M02,144.9,
133,PCU1133--1133--               ,1992,M03,147.3,
134,PCU1133--1133--               ,1992,M04,151.0,
135,PCU1133--1133--               ,1992,M05,151.5,
136,PCU1133--1133--               ,1992,M06,151.5,
137,PCU1133--1133--               ,1992,M07,151.5,
138,PCU1133--1133--               ,1992,M08,151.9,
139,PCU1133--1133--               ,1992,M09,153.7,
140,PCU1133--1133--               ,1992,M10,155.6,
141,PCU1133--1133--               ,1992,M11,156.0,
142,PCU1133--1133--               ,1992,M12,159.6,
143,PCU1133--1133--               ,1992,M13,151.3,
144,PCU1133--1133--               ,1993,M01,164.5,
145,PCU1133--1133--               ,1993,M02,172.1,
146,PCU1133--1133--               ,1993,M03,177.2,
147,PCU1133--1133--               ,1993,M04,193.2,
148,PCU1133--1133--               ,1993,M05,201.9,
149,PCU1133--1133--               ,1993,M06,196.1,
150,PCU1133--1133--               ,1993,M07,194.6,
151,PCU1133--1133--               ,1993,M08,187.2,
152,PCU1133--1133--               ,1993,M09,187.0,
153,PCU1133--1133--               ,1993,M10,187.3,
154,PCU1133--1133--               ,1993,M11,189.4,
155,PCU1133--1133--               ,1993,M12,186.5,
156,PCU1133--1133--               ,1993,M13,186.4,
157,PCU1133--1133--               ,1994,M01,196.2,
158,PCU1133--1133--               ,1994,M02,198.5,
159,PCU1133--1133--               ,1994,M03,201.0,
160,PCU1133--1133--               ,1994,M04,198.3,
161,PCU1133--1133--               ,1994,M05,193.8,
162,PCU1133--1133--               ,1994,M06,192.0,
163,PCU1133--1133--               ,1994,M07,189.3,
164,PCU1133--1133--               ,1994,M08,188.3,
165,PCU1133--1133--               ,1994,M09,187.9,
166,PCU1133--1133--               ,1994,M10,188.1,
167,PCU1133--1133--               ,1994,M11,187.9,
168,PCU1133--1133--               ,1994,M12,189.6,
169,PCU1133--1133--               ,1994,M13,192.6,
170,PCU1133--1133--               ,1995,M01,192.4,
171,PCU1133--1133--               ,1995,M02,196.8,
172,PCU1133--1133--               ,1995,M03,198.0,
173,PCU1133--1133--               ,1995,M04,200.0,
174,PCU1133--1133--               ,1995,M05,199.1,
175,PCU1133--1133--               ,1995,M06,199.9,
176,PCU1133--1133--               ,1995,M07,193.7,
177,PCU1133--1133--               ,1995,M08,191.2,
178,PCU1133--1133--               ,1995,M09,191.6,
179,PCU1133--1133--               ,1995,M10,191.1,
180,PCU1133--1133--               ,1995,M11,188.7,
181,PCU1133--1133--               ,1995,M12,189.3,
182,PCU1133--1133--               ,1995,M13,194.3,
183,PCU1133--1133--               ,1996,M01,191.1,
184,PCU1133--1133--               ,1996,M02,190.8,
185,PCU1133--1133--               ,1996,M03,187.7,
186,PCU1133--1133--               ,1996,M04,181.9,
187,PCU1133--1133--               ,1996,M05,183.5,
188,PCU1133--1133--               ,1996,M06,182.0,
189,PCU1133--1133--               ,1996,M07,182.1,
190,PCU1133--1133--               ,1996,M08,183.1,
191,PCU1133--1133--               ,1996,M09,184.6,
192,PCU1133--1133--               ,1996,M10,186.5,
193,PCU1133--1133--               ,1996,M11,187.1,
194,PCU1133--1133--               ,1996,M12,187.4,
195,PCU1133--1133--               ,1996,M13,185.7,
196,PCU1133--1133--               ,1997,M01,189.8,
197,PCU1133--1133--               ,1997,M02,191.6,
198,PCU1133--1133--               ,1997,M03,191.8,
199,PCU1133--1133--               ,1997,M04,191.3,
200,PCU1133--1133--               ,1997,M05,192.1,
201,PCU1133--1133--               ,1997,M06,191.2,
202,PCU1133--1133--               ,1997,M07,191.9,
203,PCU1133--1133--               ,1997,M08,191.5,
204,PCU1133--1133--               ,1997,M09,191.9,
205,PCU1133--1133--               ,1997,M10,189.7,
206,PCU1133--1133--               ,1997,M11,190.3,
207,PCU1133--1133--               ,1997,M12,191.0,
208,PCU1133--1133--               ,1997,M13,191.2,
209,PCU1133--1133--               ,1998,M01,192.3,
210,PCU1133--1133--               ,1998,M02,194.3,
211,PCU1133--1133--               ,1998,M03,194.1,
212,PCU1133--1133--               ,1998,M04,194.7,
213,PCU1133--1133--               ,1998,M05,191.4,
214,PCU1133--1133--               ,1998,M06,188.9,
215,PCU1133--1133--               ,1998,M07,185.5,
216,PCU1133--1133--               ,1998,M08,185.9,
217,PCU1133--1133--               ,1998,M09,184.3,
218,PCU1133--1133--               ,1998,M10,182.9,
219,PCU1133--1133--               ,1998,M11,181.8,
220,PCU1133--1133--               ,1998,M12,180.8,
221,PCU1133--1133--               ,1998,M13,188.1,
222,PCU1133--1133--               ,1999,M01,181.1,
223,PCU1133--1133--               ,1999,M02,182.4,
224,PCU1133--1133--               ,1999,M03,182.2,
225,PCU1133--1133--               ,1999,M04,182.6,
226,PCU1133--1133--               ,1999,M05,182.3,
227,PCU1133--1133--               ,1999,M06,181.7,
228,PCU1133--1133--               ,1999,M07,182.1,
229,PCU1133--1133--               ,1999,M08,182.7,
230,PCU1133--1133--               ,1999,M09,182.7,
231,PCU1133--1133--               ,1999,M10,183.5,
232,PCU1133--1133--               ,1999,M11,184.2,
233,PCU1133--1133--               ,1999,M12,184.6,
234,PCU1133--1133--               ,1999,M13,182.7,
235,PCU1133--1133--               ,2000,M01,186.7,
236,PCU1133--1133--               ,2000,M02,187.4,
237,PCU1133--1133--               ,2000,M03,186.0,
238,PCU1133--1133--               ,2000,M04,184.4,
239,PCU1133--1133--               ,2000,M05,181.4,
240,PCU1133--1133--               ,2000,M06,179.7,
241,PCU1133--1133--               ,2000,M07,177.2,
242,PCU1133--1133--               ,2000,M08,169.9,
243,PCU1133--1133--               ,2000,M09,170.0,
244,PCU1133--1133--               ,2000,M10,169.1,
245,PCU1133--1133--               ,2000,M11,169.1,
246,PCU1133--1133--               ,2000,M12,169.2,
247,PCU1133--1133--               ,2000,M13,177.5,
248,PCU1133--1133--               ,2001,M01,169.9,
249,PCU1133--1133--               ,2001,M02,166.7,
250,PCU1133--1133--               ,2001,M03,168.0,
251,PCU1133--1133--               ,2001,M04,167.1,
252,PCU1133--1133--               ,2001,M05,168.1,
253,PCU1133--1133--               ,2001,M06,169.5,
254,PCU1133--1133--               ,2001,M07,168.9,
255,PCU1133--1133--               ,2001,M08,167.7,
256,PCU1133--1133--               ,2001,M09,167.6,
257,PCU1133--1133--               ,2001,M10,165.9,
258,PCU1133--1133--               ,2001,M11,165.6,
259,PCU1133--1133--               ,2001,M12,165.5,
260,PCU1133--1133--               ,2001,M13,167.5,
261,PCU1133--1133--               ,2002,M01,164.8,
262,PCU1133--1133--               ,2002,M02,164.5,
263,PCU1133--1133--               ,2002,M03,165.6,
