UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2013,999,316360998,155774187,160586811,121617539,123802422,19977601,21768564,1981062,1940590,7995194,8773832,372464,358590,3830327,3942813,125006078,127270399,21624161,23512836,3214447,3239849,9404769,10192303,726567,718300,128481560,133936717,97555859,100361912,18720381,20459902,1150873,1181504,7724881,8502605,272309,265851,3057257,3164943,100257903,103141571,20024449,21850042,2044979,2143129,8919471,9704502,551562,551001,27292627,26650094,24061680,23440510,1257220,1308662,830189,759086,270313,271227,100155,92739,773070,777870,24748175,24128828,1599712,1662794,1169468,1096720,485298,487801,175005,167299
P,7,2013,0,3931411,2009790,1921621,1428155,1362435,305921,297267,34899,33500,110241,103430,6745,6382,123829,118607,1542017,1471408,372399,361687,59177,56831,156736,147366,15706,14800,1508759,1438709,1010346,959992,273909,266300,17068,16298,103489,96783,4383,4065,99564,95271,1102397,1047989,328092,318847,33077,31662,142301,133384,10964,10210,501031,482912,417809,402443,32012,30967,17831,17202,6752,6647,2362,2317,24265,23336,439620,423419,44307,42840,26100,25169,14435,13982,4742,4590
P,7,2013,1,3943348,2016044,1927304,1437705,1371000,306435,296933,35840,34471,107414,101830,6524,6236,122126,116834,1549956,1478364,372145,360187,60143,57734,152894,144999,15290,14601,1510071,1440230,1015218,964051,274827,266608,17093,16468,100773,95454,4184,3972,97976,93677,1105754,1050602,328284,318110,33092,31749,138696,131382,10617,10085,505973,487074,422487,406949,31608,30325,18747,18003,6641,6376,2340,2264,24150,23157,444202,427762,43861,42077,27051,25985,14198,13617,4673,4516
P,7,2013,2,3993047,2042931,1950116,1464577,1393919,308421,299162,34292,33132,106644,101179,6471,6110,122526,116614,1577239,1501069,374118,362092,58927,56738,152181,144150,15336,14447,1523860,1450156,1025909,972215,278296,269541,17358,16520,100159,94986,4165,3888,97973,93006,1116464,1058115,331665,320512,33520,31965,137982,130637,10640,9945,519071,499960,438668,421704,30125,29621,16934,16612,6485,6193,2306,2222,24553,23608,460775,442954,42453,41580,25407,24773,14199,13513,4696,4502
P,7,2013,3,3992839,2038041,1954798,1468543,1403045,306200,297247,33145,32283,103848,99848,6077,5885,120228,116490,1579303,1510138,370765,360407,57615,56276,147956,142070,14643,14101,1515323,1450684,1023428,973710,277222,269304,17175,16996,97728,94059,4029,3873,95741,92742,1112068,1059378,329519,320303,33084,32744,134281,129107,10301,9834,522718,504114,445115,429335,28978,27943,15970,15287,6120,5789,2048,2012,24487,23748,467235,450760,41246,40104,24531,23532,13675,12963,4342,4267
P,7,2013,4,3994539,2037855,1956684,1473336,1407988,308199,300229,32772,31750,101112,98215,6033,5983,116403,112519,1580239,1511475,370831,361449,56684,54451,143489,138739,14297,13986,1518837,1456604,1029772,980786,279772,272580,17389,16941,95056,92506,4013,4006,92835,89785,1115451,1063780,330697,322423,32975,31664,130245,126257,10082,9880,519018,500080,443564,427202,28427,27649,15383,14809,6056,5709,2020,1977,23568,22734,464788,447695,40134,39026,23709,22787,13244,12482,4215,4106
P,7,2013,5,4123745,2104609,2019136,1524142,1454719,318066,310188,34093,32864,105456,102298,6272,6003,116580,113064,1631115,1558461,380697,371988,57969,56017,147877,142745,14797,13924,1567674,1504037,1063489,1013580,289105,282178,18023,17568,99544,96562,4216,3963,93297,90186,1149481,1096679,340318,332561,33655,32562,134891,130152,10458,9783,536935,515099,460653,441139,28961,28010,16070,15296,5912,5736,2056,2040,23283,22878,481634,461782,40379,39427,24314,23455,12986,12593,4339,4141
P,7,2013,6,4142923,2116598,2026325,1539433,1468461,318927,308594,34639,33095,104352,100406,6216,6067,113031,109702,1643172,1568931,379377,367877,58184,56022,145532,139768,14479,14040,1579948,1510689,1078591,1025287,290402,281282,18062,17716,98338,94788,4200,4034,90355,87582,1161932,1105832,339721,329760,33512,32629,132540,127548,10280,9874,536650,515636,460842,443174,28525,27312,16577,15379,6014,5618,2016,2033,22676,22120,481240,463099,39656,38117,24672,23393,12992,12220,4199,4166
P,7,2013,7,4108453,2099578,2008875,1537863,1462923,309953,302666,33894,32678,103258,100518,6097,5824,108513,104266,1637380,1558522,367121,358179,56953,54725,143194,138394,14006,13368,1574251,1504530,1084597,1028125,282912,276257,18047,17564,97491,95199,4104,3907,87100,83478,1164794,1104981,329823,321816,33206,31985,130932,126763,9959,9431,525327,504345,453266,434798,27041,26409,15847,15114,5767,5319,1993,1917,21413,20788,472586,453541,37298,36363,23747,22740,12262,11631,4047,3937
P,7,2013,8,4096033,2091612,2004421,1537755,1464119,306351,297193,33492,32765,104080,103537,6056,5851,103878,100956,1632785,1556317,360357,350239,56184,54619,142589,140448,13634,13153,1577128,1511147,1092868,1038128,280172,271767,17996,17589,98542,98337,4118,4057,83432,81269,1169528,1112612,324480,315443,32940,31967,130866,129400,9721,9509,514484,493274,444887,425991,26179,25426,15496,15176,5538,5200,1938,1794,20446,19687,463257,443705,35877,34796,23244,22652,11723,11048,3913,3644
