,series_id,year,period,value,footnote_codes
0,EIUCOASEANTOT                 ,2003,M12,100.0,
3,EIUCOASEANTOT                 ,2004,M03,99.3,
6,EIUCOASEANTOT                 ,2004,M06,99.0,
9,EIUCOASEANTOT                 ,2004,M09,99.0,
12,EIUCOASEANTOT                 ,2004,M12,98.2,
15,EIUCOASEANTOT                 ,2005,M03,98.2,
18,EIUCOASEANTOT                 ,2005,M06,98.5,
21,EIUCOASEANTOT                 ,2005,M09,97.8,
24,EIUCOASEANTOT                 ,2005,M12,97.4,
27,EIUCOASEANTOT                 ,2006,M03,97.0,
30,EIUCOASEANTOT                 ,2006,M06,97.6,
33,EIUCOASEANTOT                 ,2006,M09,99.0,
36,EIUCOASEANTOT                 ,2006,M12,98.1,
39,EIUCOASEANTOT                 ,2007,M03,96.7,
42,EIUCOASEANTOT                 ,2007,M06,96.1,
45,EIUCOASEANTOT                 ,2007,M09,97.6,
48,EIUCOASEANTOT                 ,2007,M12,98.7,
51,EIUCOASEANTOT                 ,2008,M03,100.7,
54,EIUCOASEANTOT                 ,2008,M06,103.2,
57,EIUCOASEANTOT                 ,2008,M09,101.5,
60,EIUCOASEANTOT                 ,2008,M12,97.3,
63,EIUCOASEANTOT                 ,2009,M03,95.3,
66,EIUCOASEANTOT                 ,2009,M06,97.1,
69,EIUCOASEANTOT                 ,2009,M09,97.1,
72,EIUCOASEANTOT                 ,2009,M12,97.3,
75,EIUCOASEANTOT                 ,2010,M03,95.5,
78,EIUCOASEANTOT                 ,2010,M06,95.9,
81,EIUCOASEANTOT                 ,2010,M09,97.3,
84,EIUCOASEANTOT                 ,2010,M12,100.4,
87,EIUCOASEANTOT                 ,2011,M03,104.4,
90,EIUCOASEANTOT                 ,2011,M06,104.5,
93,EIUCOASEANTOT                 ,2011,M09,105.7,
96,EIUCOASEANTOT                 ,2011,M12,104.9,
99,EIUCOASEANTOT                 ,2012,M03,106.2,
102,EIUCOASEANTOT                 ,2012,M06,105.0,
105,EIUCOASEANTOT                 ,2012,M09,104.6,
108,EIUCOASEANTOT                 ,2012,M12,104.2,
111,EIUCOASEANTOT                 ,2013,M03,103.9,
114,EIUCOASEANTOT                 ,2013,M06,104.7,
117,EIUCOASEANTOT                 ,2013,M09,104.8,
120,EIUCOASEANTOT                 ,2013,M12,104.9,
123,EIUCOASEANTOT                 ,2014,M03,104.5,
126,EIUCOASEANTOT                 ,2014,M06,103.9,
129,EIUCOASEANTOT                 ,2014,M09,102.0,
132,EIUCOASEANTOT                 ,2014,M12,101.5,
135,EIUCOASEANTOT                 ,2015,M03,100.0,
138,EIUCOASEANTOT                 ,2015,M06,98.5,
141,EIUCOASEANTOT                 ,2015,M09,98.3,
144,EIUCOASEANTOT                 ,2015,M12,97.7,
147,EIUCOASEANTOT                 ,2016,M03,96.3,
150,EIUCOASEANTOT                 ,2016,M06,97.2,
153,EIUCOASEANTOT                 ,2016,M09,97.0,
156,EIUCOASEANTOT                 ,2016,M12,97.3,
159,EIUCOASEANTOT                 ,2017,M03,97.8,
162,EIUCOASEANTOT                 ,2017,M06,98.0,
165,EIUCOASEANTOT                 ,2017,M09,98.1,
168,EIUCOASEANTOT                 ,2017,M12,98.2,
171,EIUCOASEANTOT                 ,2018,M03,98.3,
174,EIUCOASEANTOT                 ,2018,M06,98.9,
177,EIUCOASEANTOT                 ,2018,M09,98.7,
180,EIUCOASEANTOT                 ,2018,M12,97.5,
183,EIUCOASEANTOT                 ,2019,M03,97.1,
186,EIUCOASEANTOT                 ,2019,M06,96.6,
189,EIUCOASEANTOT                 ,2019,M09,97.2,
192,EIUCOASEANTOT                 ,2019,M12,97.2,
195,EIUCOASEANTOT                 ,2020,M03,97.3,
198,EIUCOASEANTOT                 ,2020,M06,97.3,
201,EIUCOASEANTOT                 ,2020,M09,97.7,
204,EIUCOASEANTOT                 ,2020,M12,98.8,
207,EIUCOASEANTOT                 ,2021,M03,98.9,
210,EIUCOASEANTOT                 ,2021,M06,99.8,
213,EIUCOASEANTOT                 ,2021,M09,100.7,
216,EIUCOASEANTOT                 ,2021,M12,101.8,R
218,EIUCOASEANZ31                 ,2012,M06,100.0,
221,EIUCOASEANZ31                 ,2012,M09,99.0,
224,EIUCOASEANZ31                 ,2012,M12,98.7,
227,EIUCOASEANZ31                 ,2013,M03,97.7,
230,EIUCOASEANZ31                 ,2013,M06,98.5,
233,EIUCOASEANZ31                 ,2013,M09,101.0,
236,EIUCOASEANZ31                 ,2013,M12,101.6,
239,EIUCOASEANZ31                 ,2014,M03,102.1,
242,EIUCOASEANZ31                 ,2014,M06,101.1,
245,EIUCOASEANZ31                 ,2014,M09,101.8,
248,EIUCOASEANZ31                 ,2014,M12,102.3,
251,EIUCOASEANZ31                 ,2015,M03,101.3,
254,EIUCOASEANZ31                 ,2015,M06,99.8,
257,EIUCOASEANZ31                 ,2015,M09,99.4,
260,EIUCOASEANZ31                 ,2015,M12,99.8,
263,EIUCOASEANZ31                 ,2016,M03,99.9,
266,EIUCOASEANZ31                 ,2016,M06,100.3,
269,EIUCOASEANZ31                 ,2016,M09,100.4,
272,EIUCOASEANZ31                 ,2016,M12,100.7,
275,EIUCOASEANZ31                 ,2017,M03,100.6,
278,EIUCOASEANZ31                 ,2017,M06,100.1,
281,EIUCOASEANZ31                 ,2017,M09,101.0,
284,EIUCOASEANZ31                 ,2017,M12,100.4,
287,EIUCOASEANZ31                 ,2018,M03,100.9,
290,EIUCOASEANZ31                 ,2018,M06,100.8,
293,EIUCOASEANZ31                 ,2018,M09,99.7,
296,EIUCOASEANZ31                 ,2018,M12,98.6,
299,EIUCOASEANZ31                 ,2019,M03,98.2,
302,EIUCOASEANZ31                 ,2019,M06,97.3,
305,EIUCOASEANZ31                 ,2019,M09,97.6,
308,EIUCOASEANZ31                 ,2019,M12,97.7,
311,EIUCOASEANZ31                 ,2020,M03,99.5,
314,EIUCOASEANZ31                 ,2020,M06,99.1,
317,EIUCOASEANZ31                 ,2020,M09,97.5,
320,EIUCOASEANZ31                 ,2020,M12,97.5,
323,EIUCOASEANZ31                 ,2021,M03,98.9,
326,EIUCOASEANZ31                 ,2021,M06,101.1,
329,EIUCOASEANZ31                 ,2021,M09,103.1,
332,EIUCOASEANZ31                 ,2021,M12,104.5,R
334,EIUCOASEANZ311                ,2012,M06,100.0,
337,EIUCOASEANZ311                ,2012,M09,98.9,
340,EIUCOASEANZ311                ,2012,M12,96.8,
343,EIUCOASEANZ311                ,2013,M03,97.0,
346,EIUCOASEANZ311                ,2013,M06,100.0,
349,EIUCOASEANZ311                ,2013,M09,108.2,
352,EIUCOASEANZ311                ,2013,M12,110.3,
355,EIUCOASEANZ311                ,2014,M03,115.5,
358,EIUCOASEANZ311                ,2014,M06,112.5,
361,EIUCOASEANZ311                ,2014,M09,113.2,
364,EIUCOASEANZ311                ,2014,M12,112.8,
367,EIUCOASEANZ311                ,2015,M03,108.7,
370,EIUCOASEANZ311                ,2015,M06,103.8,
373,EIUCOASEANZ311                ,2015,M09,103.6,
376,EIUCOASEANZ311                ,2015,M12,105.7,
379,EIUCOASEANZ311                ,2016,M03,107.0,
382,EIUCOASEANZ311                ,2016,M06,108.6,
385,EIUCOASEANZ311                ,2016,M09,109.6,
388,EIUCOASEANZ311                ,2016,M12,110.7,
391,EIUCOASEANZ311                ,2017,M03,109.8,
394,EIUCOASEANZ311                ,2017,M06,107.9,
397,EIUCOASEANZ311                ,2017,M09,110.7,
400,EIUCOASEANZ311                ,2017,M12,108.8,
403,EIUCOASEANZ311                ,2018,M03,108.1,
406,EIUCOASEANZ311                ,2018,M06,107.1,
409,EIUCOASEANZ311                ,2018,M09,103.0,
412,EIUCOASEANZ311                ,2018,M12,99.0,
415,EIUCOASEANZ311                ,2019,M03,97.2,
418,EIUCOASEANZ311                ,2019,M06,93.9,
421,EIUCOASEANZ311                ,2019,M09,93.7,
424,EIUCOASEANZ311                ,2019,M12,92.6,
427,EIUCOASEANZ311                ,2020,M03,97.2,
430,EIUCOASEANZ311                ,2020,M06,97.0,
433,EIUCOASEANZ311                ,2020,M09,93.2,
436,EIUCOASEANZ311                ,2020,M12,94.1,
439,EIUCOASEANZ311                ,2021,M03,98.4,
442,EIUCOASEANZ311                ,2021,M06,105.5,
445,EIUCOASEANZ311                ,2021,M09,111.1,
448,EIUCOASEANZ311                ,2021,M12,115.1,
450,EIUCOASEANZ3117               ,2020,M12,100.0,
453,EIUCOASEANZ3117               ,2021,M03,100.8,
456,EIUCOASEANZ3117               ,2021,M06,108.1,
