,series_id,year,period,value,footnote_codes
0,EIUIH142                      ,1986,M09,64.1,
1,EIUIH142                      ,1986,M12,61.4,
2,EIUIH142                      ,1987,M03,62.7,
3,EIUIH142                      ,1987,M06,65.9,
4,EIUIH142                      ,1987,M09,67.1,
5,EIUIH142                      ,1987,M12,66.2,
6,EIUIH142                      ,1988,M03,67.9,
7,EIUIH142                      ,1988,M06,70.5,
8,EIUIH142                      ,1988,M09,69.3,
9,EIUIH142                      ,1988,M12,69.9,
10,EIUIH142                      ,1989,M03,70.4,
11,EIUIH142                      ,1989,M06,72.0,
12,EIUIH142                      ,1989,M09,72.0,
13,EIUIH142                      ,1989,M12,69.9,
14,EIUIH142                      ,1990,M03,71.5,
15,EIUIH142                      ,1990,M06,74.7,
16,EIUIH142                      ,1990,M09,79.0,
17,EIUIH142                      ,1990,M12,80.5,
18,EIUIH142                      ,1991,M03,82.7,
19,EIUIH142                      ,1991,M06,84.3,
20,EIUIH142                      ,1991,M09,85.2,
21,EIUIH142                      ,1991,M12,83.0,
22,EIUIH142                      ,1992,M03,83.5,
23,EIUIH142                      ,1992,M06,87.3,
24,EIUIH142                      ,1992,M09,90.5,
25,EIUIH142                      ,1992,M12,83.2,
26,EIUIH142                      ,1993,M03,84.5,
27,EIUIH142                      ,1993,M06,89.7,
28,EIUIH142                      ,1993,M09,91.0,
29,EIUIH142                      ,1993,M12,86.0,
30,EIUIH142                      ,1994,M03,87.3,
31,EIUIH142                      ,1994,M06,90.2,
32,EIUIH142                      ,1994,M09,92.9,
33,EIUIH142                      ,1994,M12,89.6,
34,EIUIH142                      ,1995,M03,92.4,
35,EIUIH142                      ,1995,M06,99.4,
36,EIUIH142                      ,1995,M09,96.4,
37,EIUIH142                      ,1995,M12,91.6,
38,EIUIH142                      ,1996,M03,93.0,
39,EIUIH142                      ,1996,M06,94.4,
40,EIUIH142                      ,1996,M09,97.7,
41,EIUIH142                      ,1996,M12,94.7,
42,EIUIH142                      ,1997,M03,85.3,
43,EIUIH142                      ,1997,M06,97.7,
44,EIUIH142                      ,1997,M09,95.0,
45,EIUIH142                      ,1997,M12,87.4,
46,EIUIH142                      ,1998,M03,89.5,
47,EIUIH142                      ,1998,M06,90.2,
48,EIUIH142                      ,1998,M09,90.6,
49,EIUIH142                      ,1998,M12,93.1,
50,EIUIH142                      ,1999,M03,95.5,
51,EIUIH142                      ,1999,M06,96.8,
52,EIUIH142                      ,1999,M09,100.6,
53,EIUIH142                      ,1999,M12,98.6,
54,EIUIH142                      ,2000,M03,98.1,
55,EIUIH142                      ,2000,M06,101.5,
56,EIUIH142                      ,2000,M09,102.6,
57,EIUIH142                      ,2000,M12,97.7,
58,EIUIH142                      ,2001,M01,103.6,
59,EIUIH142                      ,2001,M02,99.3,
60,EIUIH142                      ,2001,M03,99.6,
61,EIUIH142                      ,2001,M04,97.7,
62,EIUIH142                      ,2001,M05,101.3,
63,EIUIH142                      ,2001,M06,100.4,
64,EIUIH142                      ,2001,M07,102.7,
65,EIUIH142                      ,2001,M08,105.4,
66,EIUIH142                      ,2001,M09,102.5,
67,EIUIH142                      ,2001,M10,102.0,
68,EIUIH142                      ,2001,M11,98.7,
69,EIUIH142                      ,2001,M12,98.4,
70,EIUIH142                      ,2002,M01,101.2,
71,EIUIH142                      ,2002,M02,98.3,
72,EIUIH142                      ,2002,M03,97.5,
73,EIUIH142                      ,2002,M04,98.2,
74,EIUIH142                      ,2002,M05,103.2,
75,EIUIH142                      ,2002,M06,103.2,
76,EIUIH142                      ,2002,M07,110.4,
77,EIUIH142                      ,2002,M08,115.9,
78,EIUIH142                      ,2002,M09,108.1,
79,EIUIH142                      ,2002,M10,104.3,
80,EIUIH142                      ,2002,M11,103.1,
81,EIUIH142                      ,2002,M12,103.2,
82,EIUIH142                      ,2003,M01,110.5,
83,EIUIH142                      ,2003,M02,107.1,
84,EIUIH142                      ,2003,M03,108.4,
85,EIUIH142                      ,2003,M04,108.9,
86,EIUIH142                      ,2003,M05,114.0,
87,EIUIH142                      ,2003,M06,117.0,
88,EIUIH142                      ,2003,M07,123.5,
89,EIUIH142                      ,2003,M08,127.7,
90,EIUIH142                      ,2003,M09,118.0,
91,EIUIH142                      ,2003,M10,120.1,
92,EIUIH142                      ,2003,M11,118.4,
93,EIUIH142                      ,2003,M12,118.4,
94,EIUIH142                      ,2004,M01,127.8,
95,EIUIH142                      ,2004,M02,123.3,
96,EIUIH142                      ,2004,M03,123.2,
97,EIUIH142                      ,2004,M04,123.8,
98,EIUIH142                      ,2004,M05,123.5,
99,EIUIH142                      ,2004,M06,123.8,
100,EIUIH142                      ,2004,M07,129.6,
101,EIUIH142                      ,2004,M08,139.6,
102,EIUIH142                      ,2004,M09,130.1,
103,EIUIH142                      ,2004,M10,127.6,
104,EIUIH142                      ,2004,M11,130.0,
105,EIUIH142                      ,2004,M12,134.0,
106,EIUIH142                      ,2005,M01,141.0,
107,EIUIH142                      ,2005,M02,134.5,
108,EIUIH142                      ,2005,M03,136.3,
109,EIUIH142                      ,2005,M04,133.5,
110,EIUIH142                      ,2005,M05,142.6,
111,EIUIH142                      ,2005,M06,136.2,
112,EIUIH142                      ,2005,M07,147.3,
113,EIUIH142                      ,2005,M08,154.9,
114,EIUIH142                      ,2005,M09,139.5,
115,EIUIH142                      ,2005,M10,135.6,
116,EIUIH142                      ,2005,M11,127.9,
117,EIUIH142                      ,2005,M12,128.3,
118,EIUIH142                      ,2006,M01,132.6,
119,EIUIH142                      ,2006,M02,134.8,
120,EIUIH142                      ,2006,M03,130.8,
121,EIUIH142                      ,2006,M04,131.7,
122,EIUIH142                      ,2006,M05,139.1,
123,EIUIH142                      ,2006,M06,139.3,
124,EIUIH142                      ,2006,M07,146.5,
125,EIUIH142                      ,2006,M08,154.1,
126,EIUIH142                      ,2006,M09,142.4,
127,EIUIH142                      ,2006,M10,139.7,
128,EIUIH142                      ,2006,M11,136.1,
129,EIUIH142                      ,2006,M12,137.3,
130,EIUIH142                      ,2007,M01,141.7,
131,EIUIH142                      ,2007,M02,139.1,
132,EIUIH142                      ,2007,M03,140.2,
133,EIUIH142                      ,2007,M04,143.9,
134,EIUIH142                      ,2007,M05,149.5,
135,EIUIH142                      ,2007,M06,147.3,
136,EIUIH142                      ,2007,M07,154.8,
137,EIUIH142                      ,2007,M08,160.1,
138,EIUIH142                      ,2007,M09,154.6,
139,EIUIH142                      ,2007,M10,153.7,
140,EIUIH142                      ,2007,M11,151.8,
141,EIUIH142                      ,2007,M12,155.7,
142,EIUIH142                      ,2008,M01,161.9,
143,EIUIH142                      ,2008,M02,152.8,
144,EIUIH142                      ,2008,M03,156.4,
145,EIUIH142                      ,2008,M04,153.0,
146,EIUIH142                      ,2008,M05,158.4,
147,EIUIH142                      ,2008,M06,171.4,
148,EIUIH142                      ,2008,M07,182.1,
149,EIUIH142                      ,2008,M08,193.1,
150,EIUIH142                      ,2008,M09,171.9,
151,EIUIH142                      ,2008,M10,162.2,
152,EIUIH142                      ,2008,M11,159.7,
153,EIUIH142                      ,2008,M12,164.6,
154,EIUIH142                      ,2009,M01,164.9,
155,EIUIH142                      ,2009,M02,147.5,
156,EIUIH142                      ,2009,M03,141.7,
157,EIUIH142                      ,2009,M04,136.2,
158,EIUIH142                      ,2009,M05,133.9,
159,EIUIH142                      ,2009,M06,138.2,
160,EIUIH142                      ,2009,M07,142.4,
161,EIUIH142                      ,2009,M08,155.4,
162,EIUIH142                      ,2009,M09,141.3,
163,EIUIH142                      ,2009,M10,138.9,
164,EIUIH142                      ,2009,M11,141.6,
165,EIUIH142                      ,2009,M12,156.1,
166,EIUIH142                      ,2010,M01,157.7,
167,EIUIH142                      ,2010,M02,155.0,
168,EIUIH142                      ,2010,M03,157.7,
169,EIUIH142                      ,2010,M04,162.4,
170,EIUIH142                      ,2010,M05,163.4,
171,EIUIH142                      ,2010,M06,176.3,
172,EIUIH142                      ,2010,M07,185.9,
173,EIUIH142                      ,2010,M08,188.3,
174,EIUIH142                      ,2010,M09,172.2,
175,EIUIH142                      ,2010,M10,168.3,
176,EIUIH142                      ,2010,M11,162.9,
177,EIUIH142                      ,2010,M12,169.0,
178,EIUIH142                      ,2011,M01,178.5,
179,EIUIH142                      ,2011,M02,161.4,
180,EIUIH142                      ,2011,M03,172.8,
181,EIUIH142                      ,2011,M04,175.5,
182,EIUIH142                      ,2011,M05,183.3,
183,EIUIH142                      ,2011,M06,186.6,
184,EIUIH142                      ,2011,M07,204.9,
185,EIUIH142                      ,2011,M08,222.4,
186,EIUIH142                      ,2011,M09,192.7,
187,EIUIH142                      ,2011,M10,188.4,
188,EIUIH142                      ,2011,M11,184.1,
189,EIUIH142                      ,2011,M12,191.1,
190,EIUIH142                      ,2012,M01,195.4,
191,EIUIH142                      ,2012,M02,186.6,
192,EIUIH142                      ,2012,M03,185.1,
193,EIUIH142                      ,2012,M04,186.4,
194,EIUIH142                      ,2012,M05,198.7,
195,EIUIH142                      ,2012,M06,202.8,
196,EIUIH142                      ,2012,M07,212.6,
197,EIUIH142                      ,2012,M08,214.4,
198,EIUIH142                      ,2012,M09,187.8,
199,EIUIH142                      ,2012,M10,187.1,
200,EIUIH142                      ,2012,M11,182.9,
201,EIUIH142                      ,2012,M12,186.4,
202,EIUIH142                      ,2013,M01,200.4,
203,EIUIH142                      ,2013,M02,184.0,
204,EIUIH142                      ,2013,M03,185.3,
205,EIUIH142                      ,2013,M04,180.5,
206,EIUIH142                      ,2013,M05,189.9,
207,EIUIH142                      ,2013,M06,195.9,
208,EIUIH142                      ,2013,M07,202.6,
209,EIUIH142                      ,2013,M08,206.7,
210,EIUIH142                      ,2013,M09,185.5,
211,EIUIH142                      ,2013,M10,180.3,
212,EIUIH142                      ,2013,M11,177.3,
213,EIUIH142                      ,2013,M12,192.3,
214,EIUIH142                      ,2014,M01,197.1,
215,EIUIH142                      ,2014,M02,172.4,
216,EIUIH142                      ,2014,M03,178.6,
217,EIUIH142                      ,2014,M04,184.0,
218,EIUIH142                      ,2014,M05,187.6,
219,EIUIH142                      ,2014,M06,196.6,
220,EIUIH142                      ,2014,M07,203.6,
221,EIUIH142                      ,2014,M08,214.7,
222,EIUIH142                      ,2014,M09,188.9,
223,EIUIH142                      ,2014,M10,183.2,
224,EIUIH142                      ,2014,M11,174.1,
225,EIUIH142                      ,2014,M12,188.5,
226,EIUIH142                      ,2015,M01,189.2,
227,EIUIH142                      ,2015,M02,163.6,
228,EIUIH142                      ,2015,M03,164.7,
229,EIUIH142                      ,2015,M04,158.7,
230,EIUIH142                      ,2015,M05,163.1,
231,EIUIH142                      ,2015,M06,168.6,
232,EIUIH142                      ,2015,M07,174.6,
233,EIUIH142                      ,2015,M08,177.2,
234,EIUIH142                      ,2015,M09,156.8,
235,EIUIH142                      ,2015,M10,154.6,
236,EIUIH142                      ,2015,M11,154.0,
237,EIUIH142                      ,2015,M12,160.9,
238,EIUIH142                      ,2016,M01,168.4,
239,EIUIH142                      ,2016,M02,145.7,
240,EIUIH142                      ,2016,M03,156.6,
241,EIUIH142                      ,2016,M04,147.2,
242,EIUIH142                      ,2016,M05,146.5,
243,EIUIH142                      ,2016,M06,153.1,
244,EIUIH142                      ,2016,M07,157.4,
245,EIUIH142                      ,2016,M08,164.6,
246,EIUIH142                      ,2016,M09,146.3,
247,EIUIH142                      ,2016,M10,150.0,
248,EIUIH142                      ,2016,M11,156.2,
249,EIUIH142                      ,2016,M12,168.5,
250,EIUIH142                      ,2017,M01,169.3,
251,EIUIH142                      ,2017,M02,149.6,
252,EIUIH142                      ,2017,M03,155.8,
253,EIUIH142                      ,2017,M04,146.5,
254,EIUIH142                      ,2017,M05,149.3,
255,EIUIH142                      ,2017,M06,156.5,
256,EIUIH142                      ,2017,M07,164.4,
257,EIUIH142                      ,2017,M08,160.9,
258,EIUIH142                      ,2017,M09,147.7,
259,EIUIH142                      ,2017,M10,153.0,
260,EIUIH142                      ,2017,M11,153.7,
261,EIUIH142                      ,2017,M12,158.7,
262,EIUIH142                      ,2018,M01,166.1,
263,EIUIH142                      ,2018,M02,153.0,
264,EIUIH142                      ,2018,M03,158.4,
265,EIUIH142                      ,2018,M04,152.5,
266,EIUIH142                      ,2018,M05,151.4,
267,EIUIH142                      ,2018,M06,158.9,
268,EIUIH142                      ,2018,M07,161.5,
269,EIUIH142                      ,2018,M08,155.6,
270,EIUIH142                      ,2018,M09,151.2,
271,EIUIH142                      ,2018,M10,148.5,
272,EIUIH142                      ,2018,M11,148.7,
273,EIUIH142                      ,2018,M12,150.8,
274,EIUIH142                      ,2019,M01,161.3,
275,EIUIH142                      ,2019,M02,146.9,
276,EIUIH142                      ,2019,M03,149.2,
277,EIUIH142                      ,2019,M04,147.1,
278,EIUIH142                      ,2019,M05,148.2,
279,EIUIH142                      ,2019,M06,154.2,
280,EIUIH142                      ,2019,M07,159.3,
281,EIUIH142                      ,2019,M08,154.4,
282,EIUIH142                      ,2019,M09,146.3,
283,EIUIH142                      ,2019,M10,143.2,
284,EIUIH142                      ,2019,M11,147.9,
285,EIUIH142                      ,2019,M12,146.9,
286,EIUIH142                      ,2020,M01,157.8,
287,EIUIH142                      ,2020,M02,143.1,
288,EIUIH142                      ,2020,M03,137.1,
289,EIUIH142                      ,2020,M04,126.3,
290,EIUIH142                      ,2020,M05,125.7,
291,EIUIH142                      ,2020,M06,133.7,
292,EIUIH142                      ,2020,M07,141.0,
293,EIUIH142                      ,2020,M08,145.4,
294,EIUIH142                      ,2020,M09,154.0,
295,EIUIH142                      ,2020,M10,147.9,
296,EIUIH142                      ,2020,M11,169.4,
297,EIUIH142                      ,2020,M12,153.3,
298,EIUIH142                      ,2021,M01,170.4,
299,EIUIH142                      ,2021,M02,162.4,
300,EIUIH142                      ,2021,M03,160.0,
301,EIUIH142                      ,2021,M04,160.3,
302,EIUIH142                      ,2021,M05,157.4,
303,EIUIH142                      ,2021,M06,169.7,
304,EIUIH142                      ,2021,M07,183.6,
305,EIUIH142                      ,2021,M08,186.6,
306,EIUIH142                      ,2021,M09,170.1,
307,EIUIH142                      ,2021,M10,166.2,
308,EIUIH142                      ,2021,M11,167.7,
309,EIUIH142                      ,2021,M12,171.5,
310,EIUIH142                      ,2022,M01,184.7,
311,EIUIH142                      ,2022,M02,164.1,
312,EIUIH1421                     ,1994,M03,82.0,
313,EIUIH1421                     ,1994,M06,88.9,
314,EIUIH1421                     ,1994,M09,93.6,
315,EIUIH1421                     ,1994,M12,85.4,
316,EIUIH1421                     ,1995,M03,88.0,
317,EIUIH1421                     ,1995,M06,100.9,
318,EIUIH1421                     ,1995,M09,100.8,
319,EIUIH1421                     ,1995,M12,92.8,
320,EIUIH1421                     ,1996,M03,94.9,
321,EIUIH1421                     ,1996,M06,100.9,
322,EIUIH1421                     ,1996,M09,109.0,
323,EIUIH1421                     ,1996,M12,100.4,
324,EIUIH1421                     ,1997,M03,94.2,
325,EIUIH1421                     ,1997,M06,105.6,
326,EIUIH1421                     ,1997,M09,105.1,
327,EIUIH1421                     ,1997,M12,97.2,
328,EIUIH1421                     ,1998,M03,97.7,
329,EIUIH1421                     ,1998,M06,107.2,
330,EIUIH1421                     ,1998,M09,111.1,
331,EIUIH1421                     ,1998,M12,105.2,
332,EIUIH1421                     ,1999,M03,102.7,
333,EIUIH1421                     ,1999,M06,109.6,
334,EIUIH1421                     ,1999,M09,110.4,
335,EIUIH1421                     ,1999,M12,96.8,
336,EIUIH1421                     ,2000,M03,98.2,
337,EIUIH1421                     ,2000,M06,101.7,
338,EIUIH1421                     ,2000,M09,102.9,
339,EIUIH1421                     ,2000,M12,97.2,
340,EIUIH1421                     ,2001,M01,106.3,
341,EIUIH1421                     ,2001,M02,104.5,
342,EIUIH1421                     ,2001,M03,103.3,
343,EIUIH1421                     ,2001,M04,105.9,
344,EIUIH1421                     ,2001,M05,106.6,
345,EIUIH1421                     ,2001,M06,107.0,
346,EIUIH1421                     ,2001,M07,117.5,
347,EIUIH1421                     ,2001,M08,121.0,
348,EIUIH1421                     ,2001,M09,112.2,
349,EIUIH1421                     ,2001,M10,111.5,
350,EIUIH1421                     ,2001,M11,105.9,
351,EIUIH1421                     ,2001,M12,106.0,
352,EIUIH1421                     ,2002,M01,108.5,
353,EIUIH1421                     ,2002,M02,106.9,
354,EIUIH1421                     ,2002,M03,106.6,
355,EIUIH1421                     ,2002,M04,111.2,
356,EIUIH1421                     ,2002,M05,113.8,
357,EIUIH1421                     ,2002,M06,116.6,
358,EIUIH1421                     ,2002,M07,130.2,
359,EIUIH1421                     ,2002,M08,134.4,
360,EIUIH1421                     ,2002,M09,121.5,
361,EIUIH1421                     ,2002,M10,120.4,
362,EIUIH1421                     ,2002,M11,116.8,
363,EIUIH1421                     ,2002,M12,118.1,
364,EIUIH1421                     ,2003,M01,123.9,
365,EIUIH1421                     ,2003,M02,123.2,
366,EIUIH1421                     ,2003,M03,126.0,
367,EIUIH1421                     ,2003,M04,130.6,
368,EIUIH1421                     ,2003,M05,135.8,
369,EIUIH1421                     ,2003,M06,146.7,
370,EIUIH1421                     ,2003,M07,161.3,
371,EIUIH1421                     ,2003,M08,160.4,
372,EIUIH1421                     ,2003,M09,140.2,
373,EIUIH1421                     ,2003,M10,146.2,
374,EIUIH1421                     ,2003,M11,139.2,
375,EIUIH1421                     ,2003,M12,139.9,
376,EIUIH1421                     ,2004,M01,147.7,
377,EIUIH1421                     ,2004,M02,148.8,
378,EIUIH1421                     ,2004,M03,151.0,
379,EIUIH1421                     ,2004,M04,147.8,
380,EIUIH1421                     ,2004,M05,144.9,
381,EIUIH1421                     ,2004,M06,150.7,
382,EIUIH1421                     ,2004,M07,159.5,
383,EIUIH1421                     ,2004,M08,158.8,
384,EIUIH1421                     ,2004,M09,151.3,
385,EIUIH1421                     ,2004,M10,151.8,
386,EIUIH1421                     ,2004,M11,152.7,
387,EIUIH1421                     ,2004,M12,158.9,
388,EIUIH1421                     ,2005,M01,163.4,
389,EIUIH1421                     ,2005,M02,157.7,
390,EIUIH1421                     ,2005,M03,163.1,
391,EIUIH1421                     ,2005,M04,159.8,
392,EIUIH1421                     ,2005,M05,172.1,
393,EIUIH1421                     ,2005,M06,166.7,
394,EIUIH1421                     ,2005,M07,189.2,
395,EIUIH1421                     ,2005,M08,189.2,
396,EIUIH1421                     ,2005,M09,165.0,
397,EIUIH1421                     ,2005,M10,161.7,
398,EIUIH1421                     ,2005,M11,145.0,
399,EIUIH1421                     ,2005,M12,143.9,
400,EIUIH1421                     ,2006,M01,144.5,
401,EIUIH1421                     ,2006,M02,150.5,
402,EIUIH1421                     ,2006,M03,146.0,
403,EIUIH1421                     ,2006,M04,160.6,
404,EIUIH1421                     ,2006,M05,164.2,
405,EIUIH1421                     ,2006,M06,169.5,
406,EIUIH1421                     ,2006,M07,185.1,
407,EIUIH1421                     ,2006,M08,189.7,
408,EIUIH1421                     ,2006,M09,174.9,
409,EIUIH1421                     ,2006,M10,173.2,
410,EIUIH1421                     ,2006,M11,160.9,
411,EIUIH1421                     ,2006,M12,162.2,
412,EIUIH1421                     ,2007,M01,165.0,
413,EIUIH1421                     ,2007,M02,162.6,
414,EIUIH1421                     ,2007,M03,164.8,
415,EIUIH1421                     ,2007,M04,178.4,
416,EIUIH1421                     ,2007,M05,180.8,
417,EIUIH1421                     ,2007,M06,180.1,
418,EIUIH1421                     ,2007,M07,196.8,
419,EIUIH1421                     ,2007,M08,202.5,
420,EIUIH1421                     ,2007,M09,187.6,
421,EIUIH1421                     ,2007,M10,186.7,
422,EIUIH1421                     ,2007,M11,176.4,
423,EIUIH1421                     ,2007,M12,182.6,
424,EIUIH1421                     ,2008,M01,184.0,
425,EIUIH1421                     ,2008,M02,175.4,
426,EIUIH1421                     ,2008,M03,178.0,
427,EIUIH1421                     ,2008,M04,186.9,
428,EIUIH1421                     ,2008,M05,193.4,
429,EIUIH1421                     ,2008,M06,224.8,
430,EIUIH1421                     ,2008,M07,238.8,
431,EIUIH1421                     ,2008,M08,237.8,
432,EIUIH1421                     ,2008,M09,211.8,
433,EIUIH1421                     ,2008,M10,205.1,
434,EIUIH1421                     ,2008,M11,193.5,
435,EIUIH1421                     ,2008,M12,186.7,
436,EIUIH1421                     ,2009,M01,183.6,
437,EIUIH1421                     ,2009,M02,165.4,
438,EIUIH1421                     ,2009,M03,153.7,
439,EIUIH1421                     ,2009,M04,154.1,
440,EIUIH1421                     ,2009,M05,150.7,
441,EIUIH1421                     ,2009,M06,174.4,
442,EIUIH1421                     ,2009,M07,186.1,
443,EIUIH1421                     ,2009,M08,185.6,
444,EIUIH1421                     ,2009,M09,166.9,
445,EIUIH1421                     ,2009,M10,173.4,
446,EIUIH1421                     ,2009,M11,178.1,
447,EIUIH1421                     ,2009,M12,187.5,
448,EIUIH1421                     ,2010,M01,186.3,
449,EIUIH1421                     ,2010,M02,194.8,
450,EIUIH1421                     ,2010,M03,196.6,
451,EIUIH1421                     ,2010,M04,205.5,
452,EIUIH1421                     ,2010,M05,206.7,
453,EIUIH1421                     ,2010,M06,240.8,
454,EIUIH1421                     ,2010,M07,248.3,
455,EIUIH1421                     ,2010,M08,231.9,
456,EIUIH1421                     ,2010,M09,216.2,
457,EIUIH1421                     ,2010,M10,214.3,
458,EIUIH1421                     ,2010,M11,185.2,
459,EIUIH1421                     ,2010,M12,189.3,
460,EIUIH1421                     ,2011,M01,184.9,
461,EIUIH1421                     ,2011,M02,182.0,
462,EIUIH1421                     ,2011,M03,182.4,
463,EIUIH1421                     ,2011,M04,199.0,
464,EIUIH1421                     ,2011,M05,212.4,
465,EIUIH1421                     ,2011,M06,242.0,
466,EIUIH1421                     ,2011,M07,267.7,
467,EIUIH1421                     ,2011,M08,262.8,
468,EIUIH1421                     ,2011,M09,230.9,
469,EIUIH1421                     ,2011,M10,229.5,
470,EIUIH1421                     ,2011,M11,212.7,
471,EIUIH1421                     ,2011,M12,206.9,
472,EIUIH1421                     ,2012,M01,208.5,
473,EIUIH1421                     ,2012,M02,219.2,
474,EIUIH1421                     ,2012,M03,209.0,
475,EIUIH1421                     ,2012,M04,225.0,
476,EIUIH1421                     ,2012,M05,223.4,
477,EIUIH1421                     ,2012,M06,253.9,
478,EIUIH1421                     ,2012,M07,256.8,
479,EIUIH1421                     ,2012,M08,243.1,
480,EIUIH1421                     ,2012,M09,220.2,
481,EIUIH1421                     ,2012,M10,215.3,
482,EIUIH1421                     ,2012,M11,216.5,
483,EIUIH1421                     ,2012,M12,216.3,
484,EIUIH1421                     ,2013,M01,216.8,
485,EIUIH1421                     ,2013,M02,218.5,
486,EIUIH1421                     ,2013,M03,221.8,
487,EIUIH1421                     ,2013,M04,212.1,
488,EIUIH1421                     ,2013,M05,221.6,
489,EIUIH1421                     ,2013,M06,258.8,
490,EIUIH1421                     ,2013,M07,263.8,
491,EIUIH1421                     ,2013,M08,250.2,
492,EIUIH1421                     ,2013,M09,224.1,
493,EIUIH1421                     ,2013,M10,216.3,
494,EIUIH1421                     ,2013,M11,221.4,
495,EIUIH1421                     ,2013,M12,216.1,
496,EIUIH1421                     ,2014,M01,210.2,
497,EIUIH1421                     ,2014,M02,210.2,
498,EIUIH1421                     ,2014,M03,216.4,
499,EIUIH1421                     ,2014,M04,223.1,
500,EIUIH1421                     ,2014,M05,232.7,
501,EIUIH1421                     ,2014,M06,263.5,
502,EIUIH1421                     ,2014,M07,261.9,
503,EIUIH1421                     ,2014,M08,238.8,
504,EIUIH1421                     ,2014,M09,233.9,
505,EIUIH1421                     ,2014,M10,231.4,
506,EIUIH1421                     ,2014,M11,216.6,
507,EIUIH1421                     ,2014,M12,225.7,
508,EIUIH1421                     ,2015,M01,213.4,
509,EIUIH1421                     ,2015,M02,208.5,
510,EIUIH1421                     ,2015,M03,209.6,
511,EIUIH1421                     ,2015,M04,201.3,
512,EIUIH1421                     ,2015,M05,209.9,
513,EIUIH1421                     ,2015,M06,229.2,
514,EIUIH1421                     ,2015,M07,238.3,
515,EIUIH1421                     ,2015,M08,214.3,
516,EIUIH1421                     ,2015,M09,213.7,
517,EIUIH1421                     ,2015,M10,206.4,
518,EIUIH1421                     ,2015,M11,211.7,
519,EIUIH1421                     ,2015,M12,199.3,
520,EIUIH1421                     ,2016,M01,197.9,
521,EIUIH1421                     ,2016,M02,194.6,
522,EIUIH1421                     ,2016,M03,223.3,
523,EIUIH1421                     ,2016,M04,197.8,
524,EIUIH1421                     ,2016,M05,191.1,
525,EIUIH1421                     ,2016,M06,212.9,
526,EIUIH1421                     ,2016,M07,205.8,
527,EIUIH1421                     ,2016,M08,193.0,
528,EIUIH1421                     ,2016,M09,193.9,
529,EIUIH1421                     ,2016,M10,199.0,
530,EIUIH1421                     ,2016,M11,203.8,
531,EIUIH1421                     ,2016,M12,217.8,
532,EIUIH1421                     ,2017,M01,204.1,
533,EIUIH1421                     ,2017,M02,215.1,
534,EIUIH1421                     ,2017,M03,205.4,
535,EIUIH1421                     ,2017,M04,186.6,
536,EIUIH1421                     ,2017,M05,192.9,
537,EIUIH1421                     ,2017,M06,207.7,
538,EIUIH1421                     ,2017,M07,211.5,
539,EIUIH1421                     ,2017,M08,181.6,
540,EIUIH1421                     ,2017,M09,206.3,
541,EIUIH1421                     ,2017,M10,212.6,
542,EIUIH1421                     ,2017,M11,214.7,
543,EIUIH1421                     ,2017,M12,203.5,
544,EIUIH1421                     ,2018,M01,193.1,
545,EIUIH1421                     ,2018,M02,206.4,
546,EIUIH1421                     ,2018,M03,210.9,
547,EIUIH1421                     ,2018,M04,200.0,
548,EIUIH1421                     ,2018,M05,199.8,
549,EIUIH1421                     ,2018,M06,212.5,
550,EIUIH1421                     ,2018,M07,213.1,
551,EIUIH1421                     ,2018,M08,189.4,
552,EIUIH1421                     ,2018,M09,198.5,
553,EIUIH1421                     ,2018,M10,198.2,
554,EIUIH1421                     ,2018,M11,200.8,
555,EIUIH1421                     ,2018,M12,204.7,
556,EIUIH1421                     ,2019,M01,199.1,
557,EIUIH1421                     ,2019,M02,194.3,
558,EIUIH1421                     ,2019,M03,195.8,
559,EIUIH1421                     ,2019,M04,189.6,
560,EIUIH1421                     ,2019,M05,191.3,
561,EIUIH1421                     ,2019,M06,201.3,
562,EIUIH1421                     ,2019,M07,207.7,
563,EIUIH1421                     ,2019,M08,184.1,
564,EIUIH1421                     ,2019,M09,186.2,
565,EIUIH1421                     ,2019,M10,180.8,
566,EIUIH1421                     ,2019,M11,189.0,
567,EIUIH1421                     ,2019,M12,184.8,
568,EIUIH1421                     ,2020,M01,183.2,
569,EIUIH1421                     ,2020,M02,179.5,
570,EIUIH1421                     ,2020,M03,171.7,
571,EIUIH1421                     ,2020,M04,143.5,
572,EIUIH1421                     ,2020,M05,138.1,
573,EIUIH1421                     ,2020,M06,155.7,
574,EIUIH1421                     ,2020,M07,166.4,
575,EIUIH1421                     ,2020,M08,154.0,
576,EIUIH1421                     ,2020,M09,156.1,
577,EIUIH1421                     ,2020,M10,159.8,
578,EIUIH1421                     ,2020,M11,181.0,
579,EIUIH1421                     ,2020,M12,180.7,
580,EIUIH1421                     ,2021,M01,187.3,
581,EIUIH1421                     ,2021,M02,197.2,
582,EIUIH1421                     ,2021,M03,188.1,
583,EIUIH1421                     ,2021,M04,183.8,
584,EIUIH1421                     ,2021,M05,186.8,
585,EIUIH1421                     ,2021,M06,194.7,
586,EIUIH1421                     ,2021,M07,216.2,
587,EIUIH1421                     ,2021,M08,202.2,
588,EIUIH1421                     ,2021,M09,203.0,
589,EIUIH1421                     ,2021,M10,201.5,
590,EIUIH1421                     ,2021,M11,203.0,
591,EIUIH1421                     ,2021,M12,205.3,
592,EIUIH1421                     ,2022,M01,204.9,
593,EIUIH1421                     ,2022,M02,193.0,
594,EIUIH14211                    ,2002,M12,100.0,
