,series_id,year,period,value,footnote_codes
0,CWSR0000SAE      ,1993,M01,84.7,
1,CWSR0000SAE      ,1993,M02,85.0,
2,CWSR0000SAE      ,1993,M03,85.2,
3,CWSR0000SAE      ,1993,M04,85.3,
4,CWSR0000SAE      ,1993,M05,85.7,
5,CWSR0000SAE      ,1993,M06,85.9,
6,CWSR0000SAE      ,1993,M07,86.2,
7,CWSR0000SAE      ,1993,M08,86.5,
8,CWSR0000SAE      ,1993,M09,86.7,
9,CWSR0000SAE      ,1993,M10,87.0,
10,CWSR0000SAE      ,1993,M11,87.2,
11,CWSR0000SAE      ,1993,M12,87.6,
12,CWSR0000SAE      ,1994,M01,87.7,
13,CWSR0000SAE      ,1994,M02,88.3,
14,CWSR0000SAE      ,1994,M03,88.4,
15,CWSR0000SAE      ,1994,M04,88.6,
16,CWSR0000SAE      ,1994,M05,88.9,
17,CWSR0000SAE      ,1994,M06,89.2,
18,CWSR0000SAE      ,1994,M07,89.4,
19,CWSR0000SAE      ,1994,M08,89.6,
20,CWSR0000SAE      ,1994,M09,89.7,
21,CWSR0000SAE      ,1994,M10,89.9,
22,CWSR0000SAE      ,1994,M11,90.0,
23,CWSR0000SAE      ,1994,M12,90.3,
24,CWSR0000SAE      ,1995,M01,91.4,
25,CWSR0000SAE      ,1995,M02,91.4,
26,CWSR0000SAE      ,1995,M03,91.5,
27,CWSR0000SAE      ,1995,M04,91.7,
28,CWSR0000SAE      ,1995,M05,91.8,
29,CWSR0000SAE      ,1995,M06,92.2,
30,CWSR0000SAE      ,1995,M07,92.4,
31,CWSR0000SAE      ,1995,M08,92.7,
32,CWSR0000SAE      ,1995,M09,93.0,
33,CWSR0000SAE      ,1995,M10,93.2,
34,CWSR0000SAE      ,1995,M11,93.4,
35,CWSR0000SAE      ,1995,M12,93.8,
36,CWSR0000SAE      ,1996,M01,94.0,
37,CWSR0000SAE      ,1996,M02,94.2,
38,CWSR0000SAE      ,1996,M03,94.6,
39,CWSR0000SAE      ,1996,M04,94.3,
40,CWSR0000SAE      ,1996,M05,95.0,
41,CWSR0000SAE      ,1996,M06,95.3,
42,CWSR0000SAE      ,1996,M07,95.5,
