index,Index,Label,unit,start,last,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CWUR0200AA0      ,CWUR0200AA0      ,"All items - old base in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1977.12=100,1966-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,56.7,59.8,63.2,65.5,67.5,71.5,79.3,86.2,91.2,97.4,105.4,118.4,134.2,146.8,156.8,162.2,166.3,170.4,171.9,178.0,184.7,193.2,202.7,210.5,215.9,221.9,228.0,234.9,242.0,247.7,251.3,256.9,266.3,273.1,275.5,280.6,287.2,297.0,304.2,312.419,324.662,321.752,329.405,341.433,348.681,353.198,358.101,354.336,356.221,361.955,369.574,374.798,378.429,400.469
CWUR0200SA0      ,CWUR0200SA0      ,"All items in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,35.1,37.0,39.1,40.5,41.7,44.2,49.0,53.3,56.4,60.2,65.2,73.2,83.0,90.8,97.0,100.3,102.8,105.4,106.3,110.0,114.2,119.5,125.3,130.1,133.5,137.2,141.0,145.2,149.6,153.1,155.4,158.9,164.7,168.9,170.4,173.5,177.6,183.7,188.1,193.183,200.753,198.953,203.686,211.123,215.605,218.398,221.429,219.102,220.267,223.813,228.524,231.754,233.999,247.628
CWUR0200SA0E     ,CWUR0200SA0E     ,"Energy in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,66.6,85.6,95.9,97.8,100.9,101.4,102.5,88.3,89.5,89.5,94.7,101.2,100.4,99.4,100.5,100.5,100.4,107.6,108.4,100.7,104.6,125.4,128.4,119.1,135.2,150.8,176.4,192.1,206.24,233.147,186.273,207.769,242.165,243.336,242.003,240.901,196.062,182.756,197.261,209.378,203.646,183.076,227.934
CWUR0200SA0L1    ,CWUR0200SA0L1    ,"All items less food in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4,71.4,81.7,89.8,96.7,100.5,102.9,105.6,106.1,109.6,113.8,118.9,124.4,129.3,133.1,137.0,140.9,145.2,149.5,152.9,154.9,158.4,164.5,168.6,169.9,173.0,176.9,183.1,187.7,192.443,199.353,196.427,201.716,208.998,213.183,215.996,218.505,215.099,216.417,220.392,225.461,228.606,230.064,244.112
CWUR0200SA0L1E   ,CWUR0200SA0L1E   ,"All items less food and energy in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2,72.2,81.1,88.9,96.5,100.4,103.1,106.2,109.5,113.7,118.6,123.7,129.1,135.0,139.7,144.1,148.7,153.7,157.5,161.4,165.2,168.5,172.1,176.4,179.8,181.1,183.1,186.4,189.3,192.597,196.534,200.279,203.253,206.726,211.291,214.773,217.909,220.67,224.264,226.813,230.879,235.416,239.845,250.144
CWUR0200SA0L2    ,CWUR0200SA0L2    ,"All items less shelter in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,75.0,83.5,91.5,96.4,100.0,103.6,106.2,106.3,109.6,113.6,119.0,124.9,129.6,132.6,136.1,139.5,143.3,147.4,150.5,151.9,155.1,161.0,164.9,165.0,168.0,172.2,179.3,184.2,189.478,198.596,195.256,201.347,210.489,215.21,217.269,219.64,214.554,213.845,216.411,219.951,221.408,222.299,237.62
CWUR0200SA0L5    ,CWUR0200SA0L5    ,"All items  less medical care in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,73.4,83.2,91.1,97.1,100.3,102.6,105.1,105.6,109.2,113.2,118.2,123.8,128.2,131.2,134.5,138.0,142.0,146.3,149.8,151.8,155.1,160.7,164.6,165.7,168.6,172.2,178.0,182.1,186.805,194.21,191.966,196.401,203.616,207.662,210.097,212.772,209.967,210.487,213.801,218.567,221.354,222.777,236.763
CWUR0200SA0LE    ,CWUR0200SA0LE    ,"All items less energy in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9,74.1,82.6,90.0,96.8,100.2,103.0,105.8,109.0,113.3,118.1,123.4,129.1,134.7,138.7,142.8,147.1,151.9,156.0,159.9,163.5,166.9,170.6,175.0,178.3,179.8,182.3,185.9,189.0,192.935,198.122,201.989,204.712,208.977,213.781,217.13,220.789,223.698,226.7,228.974,232.773,237.18,242.022,252.398
CWUR0200SAA      ,CWUR0200SAA      ,"Apparel in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1966-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,54.6,57.6,59.9,61.9,63.2,65.6,70.2,73.5,76.2,79.7,82.2,85.4,90.8,95.4,97.8,100.5,101.6,104.9,104.9,108.9,115.5,118.2,123.0,126.7,128.7,130.2,130.9,129.9,129.0,130.7,129.2,126.9,123.5,121.9,117.7,114.6,113.8,112.7,109.2,108.37,109.56,110.288,109.823,112.295,117.628,119.088,119.871,116.789,114.841,116.163,116.652,115.642,108.722,110.333
CWUR0200SAC      ,CWUR0200SAC      ,"Commodities in Midwest urban, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1977-M12,2022-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.1,77.5,86.6,93.4,97.2,100.4,102.4,103.9,102.3,105.7,109.5,114.7,120.6,124.3,126.3,128.8,131.5,134.5,138.0,139.9,139.9,142.5,147.6,149.2,147.2,147.8,150.4,156.5,160.3,164.539,172.443,167.356,173.158,183.63,188.18,188.309,188.719,180.79,177.626,179.219,182.449,182.96,181.564,198.734
