index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PRS30006011      ,PRS30006011      ,1,1,1988-Q01,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.6,-1.5,-3.5,-1.7,0.1,1.3,1.4,-0.1,0.9,0.8,-1.6,-0.3,-4.6,-7.2,-4.7,-1.4,-0.5,-0.6,-1.7,-3.6,-11.3,-2.8,1.3,1.9,0.6,1.3,1.3,0.0,0.9,1.6,1.1,-5.1,1.5
PRS30006012      ,PRS30006012      ,1,2,1987-Q02,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.6,-1.5,-3.5,-1.7,0.1,1.3,1.4,-0.1,0.9,0.8,-1.6,-0.3,-4.6,-7.2,-4.7,-1.4,-0.5,-0.6,-1.7,-3.6,-11.3,-2.8,1.3,1.9,0.6,1.3,1.3,0.0,0.9,1.6,1.1,-5.1,1.5
PRS30006013      ,PRS30006013      ,1,Index base: 2012 = 100,1987-Q01,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.759,149.36,150.2,147.974,142.788,140.383,140.522,142.316,144.321,144.158,145.438,146.661,144.386,143.987,137.309,127.403,121.419,119.739,119.119,118.426,116.413,112.263,99.633,96.845,98.141,100.0,100.628,101.965,103.245,103.253,104.223,105.903,107.028,101.623,103.139
PRS30006021      ,PRS30006021      ,2,1,1988-Q01,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,-1.7,-0.3,0.9,1.1,1.3,-0.7,0.0,1.1,-0.5,0.0,-0.5,-2.0,0.1,-0.2,0.8,-0.6,1.4,0.0,-0.7,-1.8,2.9,0.6,0.5,0.2,0.2,-0.3,0.1,0.0,0.3,-1.3,-1.8,1.6
PRS30006022      ,PRS30006022      ,2,2,1987-Q02,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.0,-1.7,-0.3,0.9,1.1,1.3,-0.7,0.0,1.1,-0.5,0.0,-0.5,-2.0,0.1,-0.2,0.8,-0.6,1.4,0.0,-0.7,-1.8,2.9,0.6,0.5,0.2,0.2,-0.3,0.1,0.0,0.3,-1.3,-1.8,1.6
PRS30006023      ,PRS30006023      ,2,Index base: 2012 = 100,1987-Q01,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.305,98.511,98.552,96.896,96.633,97.472,98.512,99.765,99.017,99.044,100.173,99.67,99.633,99.121,97.185,97.308,97.116,97.894,97.283,98.62,98.648,98.002,96.218,98.967,99.549,100.0,100.165,100.414,100.117,100.192,100.234,100.5,99.218,97.384,98.985
PRS30006031      ,PRS30006031      ,3,1,1988-Q01,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.6,-3.1,-3.8,-0.8,1.2,2.6,0.6,-0.1,2.0,0.3,-1.6,-0.8,-6.5,-7.1,-4.9,-0.6,-1.1,0.8,-1.7,-4.2,-12.9,0.0,1.9,2.4,0.8,1.6,1.0,0.1,1.0,1.9,-0.2,-6.8,3.2
PRS30006032      ,PRS30006032      ,3,2,1987-Q02,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.6,-3.1,-3.8,-0.8,1.2,2.6,0.6,-0.1,2.0,0.3,-1.6,-0.8,-6.5,-7.1,-4.9,-0.6,-1.1,0.8,-1.7,-4.2,-12.9,0.0,1.9,2.4,0.8,1.6,1.0,0.1,1.0,1.9,-0.2,-6.8,3.2
PRS30006033      ,PRS30006033      ,3,Index base: 2012 = 100,1987-Q01,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.804,147.136,148.024,143.381,137.981,136.834,138.431,141.981,142.902,142.779,145.691,146.178,143.856,142.722,133.444,123.973,117.918,117.217,115.883,116.792,114.838,110.019,95.865,95.844,97.699,100.0,100.794,102.387,103.366,103.452,104.467,106.432,106.191,98.964,102.092
PRS30006041      ,PRS30006041      ,4,1,1988-Q01,2022-Q01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,1.2,0.1,-1.8,4.0,3.7,5.6,4.3,3.9,7.0,4.8,4.2,2.7,-4.7,1.0,1.3,2.5,3.9,1.6,2.9,-4.5,-12.4,7.0,2.9,1.2,1.9,1.1,-1.2,-0.3,-0.2,2.0,-2.2,-6.7,6.5
