UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
P,7,2019,999,328566428,161895680,166670748,124091876,126142517,21219511,23047309,2138908,2107661,9429781,10288373,423194,408865,4592410,4676023,128183627,130287135,23290794,25201053,3490603,3521676,11138596,11992838,828336,817000,131393848,136736446,97403808,99993152,19726573,21506074,1193224,1231254,9114398,9972800,306893,300087,3648952,3733079,100654179,103299456,21358094,23211932,2151673,2254777,10561944,11415852,623900,620964,30501832,29934302,26688068,26149365,1492938,1541235,945684,876407,315383,315573,116301,108778,943458,942944,27529448,26987679,1932700,1989121,1338930,1266899,576652,576986,204436,196036
P,7,2019,0,3762227,1921001,1841226,1338500,1279582,302290,294790,36063,34688,112372,106007,7188,6744,124588,119415,1453083,1389395,371328,361129,59302,57061,158310,149820,15695,14818,1422118,1359192,932001,886378,267154,260707,14618,14117,104448,98513,4385,4128,99512,95349,1024034,974548,323103,314494,29495,28440,142578,134846,10604,10026,498883,482034,406499,393204,35136,34083,21445,20571,7924,7494,2803,2616,25076,24066,429049,414847,48225,46635,29807,28621,15732,14974,5091,4792
P,7,2019,1,3842257,1963261,1878996,1365946,1304224,307970,300514,36675,34764,118855,111473,7276,6885,126539,121136,1482306,1415599,377704,367644,60297,57443,165798,156063,15983,15113,1458089,1391812,952662,905240,273586,267162,14622,14113,111198,104073,4570,4277,101451,96947,1046452,994844,330303,321685,29800,28688,150357,141194,10978,10318,505172,487184,413284,398984,34384,33352,22053,20651,7657,7400,2706,2608,25088,24189,435854,420755,47401,45959,30497,28755,15441,14869,5005,4795
P,7,2019,2,3911822,2000102,1911720,1396256,1330888,307648,299745,35764,34787,125756,117956,7420,7046,127258,121298,1513163,1442381,376781,366390,59772,57803,173738,162876,16359,15387,1486873,1416841,972486,922759,273861,266913,15651,15039,118082,110640,4752,4430,102041,97060,1066686,1012434,329934,320998,31205,29896,158225,148045,11386,10563,513229,494879,423770,408129,33787,32832,20113,19748,7674,7316,2668,2616,25217,24238,446477,429947,46847,45392,28567,27907,15513,14831,4973,4824
P,7,2019,3,4009037,2048651,1960386,1445591,1377569,308023,301959,35395,34019,123990,116928,7284,6988,128368,122923,1563597,1490601,377515,369051,59980,57572,172206,162577,16272,15494,1522892,1455078,1008086,957099,274843,269788,16160,15562,116296,109678,4610,4412,102897,98539,1103155,1048176,331314,324322,32123,30863,156525,147758,11247,10687,525759,505308,437505,420470,33180,32171,19235,18457,7694,7250,2674,2576,25471,24384,460442,442425,46201,44729,27857,26709,15681,14819,5025,4807
P,7,2019,4,4045996,2068251,1977745,1456475,1388582,314163,305903,35170,34063,127022,119326,7239,6985,128182,122886,1574307,1501561,383589,372908,59862,57681,174977,164973,16221,15471,1542890,1471089,1018657,966736,280482,273254,16511,15812,119650,112233,4630,4435,102960,98619,1113769,1057853,336898,327738,32654,31191,159822,150399,11315,10740,525361,506656,437818,421846,33681,32649,18659,18251,7372,7093,2609,2550,25222,24267,460538,443708,46691,45170,27208,26490,15155,14574,4906,4731
P,7,2019,5,4032231,2063176,1969055,1456878,1384313,314060,305630,35376,34097,123281,116832,6926,6677,126655,121506,1573341,1496013,382192,372014,59961,57584,170888,161703,15934,15184,1541738,1468526,1022215,967362,280253,273113,16852,16140,116239,110127,4494,4313,101685,97471,1116205,1057421,335560,327102,32964,31468,156088,147582,11154,10604,521438,500529,434663,416951,33807,32517,18524,17957,7042,6705,2432,2364,24970,24035,457136,438592,46632,44912,26997,26116,14800,14121,4780,4580
P,7,2019,6,4022432,2055583,1966849,1450169,1383602,312468,304352,35076,33840,125676,118587,6957,6638,125237,119830,1565179,1493580,379392,369208,59502,57327,173153,163305,16058,15160,1537141,1466531,1016572,965527,279631,272550,17035,16279,118834,111875,4570,4291,100499,96009,1109323,1054069,333903,325163,33041,31648,158604,149233,11291,10541,518442,500318,433597,418075,32837,31802,18041,17561,6842,6712,2387,2347,24738,23821,455856,439511,45489,44045,26461,25679,14549,14072,4767,4619
P,7,2019,7,4027876,2058425,1969451,1458903,1391856,312956,303978,36036,34822,120357,114366,6713,6453,123460,117976,1572260,1500172,379138,367655,60513,58236,166675,158233,15608,14925,1535395,1465003,1021068,969362,280485,272786,17063,16443,113651,107895,4334,4156,98794,94361,1112225,1056433,334035,324371,33062,31726,152380,144492,10892,10372,523030,504448,437835,422494,32471,31192,18973,18379,6706,6471,2379,2297,24666,23615,460035,443739,45103,43284,27451,26510,14295,13741,4716,4553
P,7,2019,8,4071894,2082403,1989491,1484851,1414138,314736,305958,34527,33465,117889,111926,6637,6319,123763,117685,1598563,1522184,380932,369311,59333,57228,164127,155524,15599,14745,1546432,1472536,1031068,977224,283720,275461,17345,16496,111342,105654,4297,4075,98660,93626,1122150,1063594,337187,326518,33505,31946,149831,141905,10868,10219,535971,516955,453783,436914,31016,30497,17182,16969,6547,6272,2340,2244,25103,24059,476413,458590,43745,42793,25828,25282,14296,13619,4731,4526
