,series_id,year,period,value,footnote_codes
0,PCU327---327---               ,1984,M12,100.0,
1,PCU327---327---               ,1985,M01,100.3,
2,PCU327---327---               ,1985,M02,100.8,
3,PCU327---327---               ,1985,M03,101.2,
4,PCU327---327---               ,1985,M04,101.5,
5,PCU327---327---               ,1985,M05,102.0,
6,PCU327---327---               ,1985,M06,102.4,
7,PCU327---327---               ,1985,M07,102.5,
8,PCU327---327---               ,1985,M08,102.7,
9,PCU327---327---               ,1985,M09,102.7,
10,PCU327---327---               ,1985,M10,102.9,
11,PCU327---327---               ,1985,M11,102.9,
12,PCU327---327---               ,1985,M12,103.0,
14,PCU327---327---               ,1986,M01,103.4,
15,PCU327---327---               ,1986,M02,103.5,
16,PCU327---327---               ,1986,M03,103.5,
17,PCU327---327---               ,1986,M04,103.7,
18,PCU327---327---               ,1986,M05,104.1,
19,PCU327---327---               ,1986,M06,104.1,
20,PCU327---327---               ,1986,M07,104.1,
21,PCU327---327---               ,1986,M08,103.9,
22,PCU327---327---               ,1986,M09,103.9,
23,PCU327---327---               ,1986,M10,103.9,
24,PCU327---327---               ,1986,M11,103.9,
25,PCU327---327---               ,1986,M12,103.8,
27,PCU327---327---               ,1987,M01,104.0,
28,PCU327---327---               ,1987,M02,104.2,
29,PCU327---327---               ,1987,M03,104.3,
30,PCU327---327---               ,1987,M04,104.4,
31,PCU327---327---               ,1987,M05,104.4,
32,PCU327---327---               ,1987,M06,104.5,
33,PCU327---327---               ,1987,M07,104.5,
34,PCU327---327---               ,1987,M08,104.2,
35,PCU327---327---               ,1987,M09,104.3,
36,PCU327---327---               ,1987,M10,104.9,
37,PCU327---327---               ,1987,M11,105.0,
38,PCU327---327---               ,1987,M12,104.9,
40,PCU327---327---               ,1988,M01,105.4,
41,PCU327---327---               ,1988,M02,105.5,
42,PCU327---327---               ,1988,M03,105.5,
43,PCU327---327---               ,1988,M04,105.6,
44,PCU327---327---               ,1988,M05,105.8,
45,PCU327---327---               ,1988,M06,105.9,
46,PCU327---327---               ,1988,M07,105.6,
47,PCU327---327---               ,1988,M08,105.7,
48,PCU327---327---               ,1988,M09,105.8,
49,PCU327---327---               ,1988,M10,106.0,
50,PCU327---327---               ,1988,M11,106.2,
51,PCU327---327---               ,1988,M12,106.3,
53,PCU327---327---               ,1989,M01,106.5,
54,PCU327---327---               ,1989,M02,106.7,
55,PCU327---327---               ,1989,M03,107.2,
56,PCU327---327---               ,1989,M04,107.9,
57,PCU327---327---               ,1989,M05,107.9,
58,PCU327---327---               ,1989,M06,108.1,
59,PCU327---327---               ,1989,M07,108.2,
60,PCU327---327---               ,1989,M08,108.2,
61,PCU327---327---               ,1989,M09,108.3,
62,PCU327---327---               ,1989,M10,108.3,
63,PCU327---327---               ,1989,M11,108.5,
64,PCU327---327---               ,1989,M12,108.6,
66,PCU327---327---               ,1990,M01,109.3,
67,PCU327---327---               ,1990,M02,109.5,
68,PCU327---327---               ,1990,M03,109.7,
69,PCU327---327---               ,1990,M04,109.9,
70,PCU327---327---               ,1990,M05,110.0,
71,PCU327---327---               ,1990,M06,110.2,
72,PCU327---327---               ,1990,M07,110.0,
73,PCU327---327---               ,1990,M08,110.0,
74,PCU327---327---               ,1990,M09,110.2,
75,PCU327---327---               ,1990,M10,110.1,
76,PCU327---327---               ,1990,M11,110.4,
77,PCU327---327---               ,1990,M12,110.5,
79,PCU327---327---               ,1991,M01,111.5,
80,PCU327---327---               ,1991,M02,111.5,
81,PCU327---327---               ,1991,M03,111.9,
82,PCU327---327---               ,1991,M04,112.3,
83,PCU327---327---               ,1991,M05,112.4,
84,PCU327---327---               ,1991,M06,112.5,
85,PCU327---327---               ,1991,M07,112.5,
86,PCU327---327---               ,1991,M08,112.5,
87,PCU327---327---               ,1991,M09,112.5,
88,PCU327---327---               ,1991,M10,112.6,
89,PCU327---327---               ,1991,M11,112.6,
90,PCU327---327---               ,1991,M12,112.5,
92,PCU327---327---               ,1992,M01,112.5,
93,PCU327---327---               ,1992,M02,112.5,
94,PCU327---327---               ,1992,M03,112.5,
95,PCU327---327---               ,1992,M04,112.4,
96,PCU327---327---               ,1992,M05,112.5,
97,PCU327---327---               ,1992,M06,112.6,
98,PCU327---327---               ,1992,M07,112.7,
99,PCU327---327---               ,1992,M08,113.0,
100,PCU327---327---               ,1992,M09,113.0,
101,PCU327---327---               ,1992,M10,113.0,
102,PCU327---327---               ,1992,M11,113.2,
103,PCU327---327---               ,1992,M12,113.3,
105,PCU327---327---               ,1993,M01,113.8,
106,PCU327---327---               ,1993,M02,114.1,
107,PCU327---327---               ,1993,M03,114.5,
108,PCU327---327---               ,1993,M04,115.0,
109,PCU327---327---               ,1993,M05,115.1,
110,PCU327---327---               ,1993,M06,115.3,
111,PCU327---327---               ,1993,M07,115.5,
112,PCU327---327---               ,1993,M08,115.9,
113,PCU327---327---               ,1993,M09,116.1,
114,PCU327---327---               ,1993,M10,116.1,
115,PCU327---327---               ,1993,M11,116.5,
116,PCU327---327---               ,1993,M12,116.6,
118,PCU327---327---               ,1994,M01,116.9,
119,PCU327---327---               ,1994,M02,117.4,
120,PCU327---327---               ,1994,M03,118.2,
121,PCU327---327---               ,1994,M04,118.5,
122,PCU327---327---               ,1994,M05,119.1,
123,PCU327---327---               ,1994,M06,119.8,
124,PCU327---327---               ,1994,M07,120.1,
125,PCU327---327---               ,1994,M08,120.4,
126,PCU327---327---               ,1994,M09,120.7,
127,PCU327---327---               ,1994,M10,121.1,
128,PCU327---327---               ,1994,M11,121.4,
129,PCU327---327---               ,1994,M12,121.6,
131,PCU327---327---               ,1995,M01,122.4,
132,PCU327---327---               ,1995,M02,123.1,
133,PCU327---327---               ,1995,M03,123.8,
134,PCU327---327---               ,1995,M04,124.5,
135,PCU327---327---               ,1995,M05,124.6,
136,PCU327---327---               ,1995,M06,124.4,
137,PCU327---327---               ,1995,M07,124.5,
138,PCU327---327---               ,1995,M08,124.6,
139,PCU327---327---               ,1995,M09,124.8,
140,PCU327---327---               ,1995,M10,124.8,
141,PCU327---327---               ,1995,M11,124.9,
142,PCU327---327---               ,1995,M12,124.9,
144,PCU327---327---               ,1996,M01,125.1,
145,PCU327---327---               ,1996,M02,125.3,
146,PCU327---327---               ,1996,M03,125.3,
147,PCU327---327---               ,1996,M04,125.4,
148,PCU327---327---               ,1996,M05,125.5,
149,PCU327---327---               ,1996,M06,125.5,
150,PCU327---327---               ,1996,M07,125.8,
151,PCU327---327---               ,1996,M08,125.9,
152,PCU327---327---               ,1996,M09,126.3,
153,PCU327---327---               ,1996,M10,126.2,
154,PCU327---327---               ,1996,M11,126.6,
155,PCU327---327---               ,1996,M12,126.5,
157,PCU327---327---               ,1997,M01,126.8,
158,PCU327---327---               ,1997,M02,126.9,
159,PCU327---327---               ,1997,M03,127.1,
160,PCU327---327---               ,1997,M04,127.5,
161,PCU327---327---               ,1997,M05,127.6,
162,PCU327---327---               ,1997,M06,127.4,
